frame_id,proc_us,push_wait_us,ring_after_samples
449,1764.200000,2.200000,15360
450,523.100000,17868.000000,14880
451,706.000000,2.300000,15360
452,680.400000,18671.700000,14880
453,781.300000,2.100000,15360
454,1499.600000,17703.100000,14880
455,2469.300000,1.800000,15360
456,1120.400000,16466.400000,14880
457,3248.600000,4.900000,15360
458,3052.400000,13722.500000,14880
459,2567.200000,2.500000,15360
460,2127.900000,15446.700000,14880
461,1701.000000,1.600000,15360
462,1234.100000,17104.900000,14880
463,1525.500000,2.100000,15360
464,1423.600000,17134.300000,14880
465,1796.700000,2.700000,15360
466,1787.500000,16477.000000,14880
467,2510.100000,2.400000,15360
468,1668.100000,15872.600000,14880
469,1829.700000,1.600000,15360
470,1300.400000,16005.200000,14880
471,1494.900000,1.900000,15360
472,1406.700000,17230.100000,14880
473,2360.600000,2.600000,15360
474,1924.000000,15737.700000,14880
475,2814.400000,2.300000,15360
476,1319.600000,15991.100000,14880
477,1432.100000,1.800000,15360
478,2182.000000,16479.600000,14880
479,566.900000,1.500000,15360
480,362.500000,19014.500000,14880
481,950.100000,2.700000,15360
482,2298.400000,16768.900000,14880
483,1017.700000,2.100000,15360
484,1701.400000,17298.400000,14880
485,2907.600000,3.100000,15360
486,1968.400000,15137.600000,14880
487,2138.000000,2.400000,15360
488,1437.100000,16449.000000,14880
489,2396.200000,2.200000,15360
490,1918.200000,15725.600000,14880
491,2214.200000,2.200000,15360
492,1385.500000,16418.100000,14880
493,3087.100000,2.900000,15360
494,1973.400000,15062.100000,14880
495,1501.700000,1.800000,15360
496,1283.600000,17306.700000,14880
497,1352.500000,1.300000,15360
498,1304.600000,17323.100000,14880
499,1487.100000,1.600000,15360
500,1452.100000,17037.800000,14880
501,2167.400000,2.200000,15360
502,1485.100000,16476.400000,14880
503,1503.700000,1.600000,15360
504,1324.300000,17080.400000,14880
505,1589.300000,1.900000,15360
506,1387.100000,17159.300000,14880
507,1407.000000,1.600000,15360
508,1182.700000,17382.000000,14880
509,1362.500000,1.300000,15360
510,1216.400000,16563.600000,14880
511,1828.200000,1.800000,15360
512,1151.900000,17030.100000,14880
513,1569.700000,1.700000,15360
514,1325.100000,17127.900000,14880
515,1446.300000,1.600000,15360
516,1290.300000,17352.300000,14880
517,2473.800000,2.400000,15360
518,1361.700000,16216.400000,14880
519,2256.200000,2.000000,15360
520,1348.100000,16383.800000,14880
521,1345.000000,1.400000,15360
522,1128.900000,17592.900000,14880
523,1495.900000,1.500000,15360
524,1236.700000,17287.600000,14880
525,2716.600000,1.900000,15360
526,974.300000,16293.100000,14880
527,1408.000000,1.600000,15360
528,1357.400000,17346.700000,14880
529,2572.100000,2.500000,15360
530,2137.500000,15293.800000,14880
531,1997.800000,1.600000,15360
532,1173.600000,16865.200000,14880
533,1563.500000,2.000000,15360
534,1415.700000,17117.700000,14880
535,2588.700000,23.800000,15360
536,2577.700000,14766.700000,14880
537,1610.700000,1.500000,15360
538,1138.500000,17332.800000,14880
539,1331.300000,1.400000,15360
540,1174.100000,17622.200000,14880
541,1425.900000,1.700000,15360
542,1179.400000,17419.900000,14880
543,1500.700000,1.800000,15360
544,1378.600000,17170.900000,14880
545,1606.100000,1.800000,15360
546,1203.700000,16357.800000,14880
547,2061.200000,1.600000,15360
548,1012.100000,16866.400000,14880
549,2617.600000,2.600000,15360
550,2198.400000,15190.900000,14880
551,557.600000,1.400000,15360
552,338.300000,19193.700000,14880
553,876.600000,2.200000,15360
554,387.700000,18744.100000,14880
555,517.600000,1.300000,15360
556,379.700000,19247.600000,14880
557,2212.800000,2.500000,15360
558,1363.600000,16380.200000,14880
559,1830.000000,1.900000,15360
560,1221.600000,16946.300000,14880
561,2141.100000,1.300000,15360
562,985.400000,16923.500000,14880
563,1348.100000,1.500000,15360
564,1156.300000,17694.900000,14880
565,1559.000000,1.900000,15360
566,1274.100000,17530.300000,14880
567,1471.200000,1.800000,15360
568,1274.400000,16927.700000,14880
569,1466.500000,1.600000,15360
570,1366.100000,17238.400000,14880
571,1463.300000,1.500000,15360
572,1241.500000,17387.600000,14880
573,1483.200000,1.800000,15360
574,1311.000000,17176.500000,14880
575,1819.800000,1.600000,15360
576,1247.400000,16987.600000,14880
577,1488.600000,1.300000,15360
578,1270.100000,17155.900000,14880
579,1324.600000,1.600000,15360
580,1185.100000,17644.400000,14880
581,1402.600000,1.400000,15360
582,1105.700000,16655.700000,14880
583,1506.100000,1.600000,15360
584,1180.300000,17320.100000,14880
585,1339.600000,1.400000,15360
586,1109.400000,17650.900000,14880
587,1307.500000,1.300000,15360
588,1092.000000,17613.500000,14880
589,1328.500000,1.700000,15360
590,1162.200000,17576.800000,14880
591,1504.800000,1.500000,15360
592,1106.900000,17392.800000,14880
593,1236.700000,1.300000,15360
594,1027.500000,17841.500000,14880
595,2084.200000,1.600000,15360
596,1159.500000,16696.700000,14880
597,1370.200000,1.500000,15360
598,1221.700000,17432.100000,14880
599,1598.000000,1.900000,15360
600,1356.600000,17057.000000,14880
601,1451.200000,1.600000,15360
602,1196.500000,17367.200000,14880
603,1373.100000,1.300000,15360
604,1097.700000,17547.400000,14880
605,2091.800000,2.700000,15360
606,1260.900000,16660.600000,14880
607,1377.000000,1.800000,15360
608,1151.200000,17565.500000,14880
609,633.900000,1.600000,15360
610,375.000000,19010.000000,14880
611,736.600000,1.900000,15360
612,1205.500000,18173.000000,14880
613,2500.800000,2.800000,15360
614,2142.900000,15549.700000,14880
615,2675.700000,3.000000,15360
616,2389.600000,14907.700000,14880
617,2543.000000,2.400000,15360
618,1930.600000,15501.900000,14880
619,1485.500000,1.800000,15360
620,1701.000000,16839.000000,14880
621,1452.300000,1.400000,15360
622,1178.900000,17444.600000,14880
623,1517.400000,1.700000,15360
