tempo_s,clean,clean_empilhado,noisy,noisy_empilhado,stft_subtraction,stft_subtraction_empilhado,stft_wiener,stft_wiener_empilhado,wavelet_soft,wavelet_soft_empilhado
0.23125,0,3,0.12103894,1.1210389,0.069522619,-0.93047738,0.084324405,-2.9156756,-0.036012594,-5.0360126
0.235875,0,3,0.064547993,1.064548,0.017731626,-0.98226839,0.030610705,-2.9693892,-0.038179457,-5.0381794
0.2405,0,3,0.17377603,1.173776,0.050478671,-0.9495213,0.081394561,-2.9186053,0.06982781,-4.930172
0.245125,0,3,-0.16779427,0.83220571,-0.08777307,-1.0877731,-0.11066242,-3.1106625,0.089421101,-4.9105787
0.24975,0,3,-0.19526149,0.80473852,-0.067172639,-1.0671726,-0.096898288,-3.0968983,-0.052950721,-5.0529509
0.254375,0,3,0.060641546,1.0606415,0.024659472,-0.97534055,0.030000322,-2.9699998,0.017701106,-4.9822989
0.259,0,3,-0.27177301,0.72822702,-0.10385665,-1.1038567,-0.15088665,-3.1508865,-0.043886535,-5.0438867
0.263625,0,3,0.1316596,1.1316596,0.02148548,-0.97851449,0.03940022,-2.9605999,0.071750514,-4.9282494
0.26825,0,3,0.14340948,1.1434095,0.084660113,-0.91533989,0.11032672,-2.8896732,0.027863983,-4.972136
0.272875,0,3,-0.041902788,0.95809722,-0.0099492418,-1.0099492,-0.0031434721,-3.0031435,0.011719353,-4.9882808
0.2775,0,3,-0.088108778,0.91189122,-0.076572537,-1.0765725,-0.093022354,-3.0930223,-0.046083916,-5.0460839
0.282125,0,3,-0.057437036,0.94256294,0.0061953869,-0.99380463,0.0010071319,-2.9989929,-0.039247625,-5.0392475
0.28675,0,3,0.026032833,1.0260328,0.022828322,-0.97717166,0.031129528,-2.9688704,0.046328064,-4.9536719
0.291375,0,3,0.05188255,1.0518825,-0.028993191,-1.0289932,-0.025575045,-3.0255752,-0.018433563,-5.0184336
0.296,0,3,0.12946221,1.1294622,0.027314637,-0.97268534,0.032014586,-2.9679854,0.00064090209,-4.9993591
0.300625,-0.02188223,2.9781177,0.19062258,1.1906226,0.08356142,-0.91643858,0.1166747,-2.8833253,0.0039980081,-4.9960022
0.30525,0.0031434721,3.0031435,0.064242803,1.0642428,0.01394725,-0.98605275,0.031068491,-2.9689314,0.037294399,-4.9627056
0.309875,0.060519472,3.0605195,-0.1974894,0.80251062,-0.042360578,-1.0423605,-0.057223402,-3.0572233,-0.042330056,-5.0423303
0.3145,-0.036745053,2.9632549,-0.0035707403,0.99642926,-0.0336321,-1.033632,-0.041353446,-3.0413535,-0.031861991,-5.0318618
0.319125,-0.048708558,2.9512916,-0.14206663,0.8579334,-0.099156708,-1.0991567,-0.13349074,-3.1334908,0.067874588,-4.9321256
0.32375,0.014801786,3.0148017,-0.10590144,0.89409858,-0.035554804,-1.0355548,-0.056246791,-3.0562468,-0.056429904,-5.0564299
0.328375,-0.045412492,2.9545875,0.12219866,1.1221987,0.023133514,-0.97686648,0.057131846,-2.9428682,0.00079349783,-4.9992065
0.333,-0.0061343485,2.9938657,0.12940118,1.1294012,0.088932797,-0.91106719,0.10129305,-2.8987069,0.033387948,-4.9666119
0.337625,-0.085362062,2.914638,-0.14182246,0.85817754,-0.11414161,-1.1141416,-0.1225649,-3.1225648,0.023041958,-4.9769583
0.34225,0.0096440502,3.009644,-0.18961544,0.81038457,-0.023927011,-1.023927,-0.060061682,-3.0600617,-0.073490106,-5.0734901
0.346875,-0.075412817,2.9245872,0.022126382,1.0221264,-0.034730792,-1.0347308,-0.0090336679,-3.0090337,-0.0075687487,-5.0075688
0.3515,0.0272536,3.0272536,0.08325623,1.0832562,0.11343967,-0.88656032,0.12152724,-2.8784728,-0.010498586,-5.0104985
0.356125,-0.096104801,2.9038951,-0.16996112,0.83003891,-0.13861796,-1.138618,-0.1493302,-3.1493301,-0.032533415,-5.0325336
0.36075,0.029359419,3.0293593,-0.023255588,0.97674441,0.060946736,-0.93905324,0.047884539,-2.9521155,0.050417628,-4.9495826
0.365375,-0.10510795,2.894892,-0.029298382,0.97070163,-0.055483811,-1.0554838,-0.043733936,-3.0437338,-0.091313288,-5.0913134
0.37,0.033082757,3.0330827,0.057040285,1.0570403,0.063601904,-0.93639809,0.068942748,-2.9310572,-0.078220576,-5.0782204
0.374625,-0.096165836,2.9038341,-0.093937941,0.90606207,-0.039247625,-1.0392476,-0.05017348,-3.0501735,0.056399383,-4.9436007
0.37925,0.026734773,3.0267348,-0.12378567,0.87621433,-0.017823182,-1.0178232,-0.041048255,-3.0410483,-0.023713378,-5.0237136
0.383875,-0.090977579,2.9090223,-0.013153752,0.98684627,-0.009705089,-1.0097051,-0.0090336679,-3.0090337,0.10178135,-4.8982186
0.3885,0.024262723,3.0242627,0.1262272,1.1262271,0.067874588,-0.93212539,0.088169813,-2.9118302,0.098027505,-4.9019723
0.393125,-0.03119057,2.9688094,0.051852033,1.051852,0.059634417,-0.94036555,0.061190888,-2.9388092,0.14902499,-4.850975
0.39775,0.008118093,3.0081182,-0.062411655,0.93758833,0.019959522,-0.98004049,0.020783542,-2.9792166,-0.086796463,-5.0867963
0.402375,0.061099332,3.0610993,-0.071964152,0.92803586,-0.0074771908,-1.0074772,-0.035219096,-3.0352192,0.014740748,-4.9852591
0.407,-0.029512018,2.9704881,-0.085819848,0.91418016,-0.062777884,-1.0627779,-0.06644018,-3.0664401,-0.062198024,-5.0621982
0.411625,0.11893312,3.1189332,0.25868031,1.2586803,0.14731592,-0.85268408,0.17762144,-2.8223786,0.14871982,-4.8512802
0.41625,-0.046144951,2.953855,0.11670522,1.1167052,0.033754181,-0.96624583,0.063052557,-2.9369473,-0.02859644,-5.0285964
0.420875,0.1493302,3.1493301,-0.11289032,0.8871097,0.025544526,-0.97445548,0.0060427915,-2.9939573,0.11337863,-4.8866215
0.4255,-0.014343999,2.985656,0.26551661,1.2655166,0.06180127,-0.93819875,0.10214758,-2.8978524,-0.064914227,-5.0649142
0.430125,0.13947251,3.1394725,0.16248395,1.1624839,0.096226864,-0.90377313,0.1200318,-2.8799682,0.02612439,-4.9738755
0.43475,-0.018464085,2.9815359,0.083927654,1.0839276,0.020234196,-0.97976583,0.028382806,-2.9716172,0.13294141,-4.8670588
0.439375,0.043062519,3.0430624,-0.11759027,0.88240975,-0.016297225,-1.0162972,-0.036684014,-3.036684,0.11170008,-4.8882999
0.444,0.018464085,3.0184641,0.0045473529,1.0045474,0.0078739403,-0.99212605,0.010437549,-2.9895625,-0.057223402,-5.0572233
0.448625,-0.047640387,2.9523597,0.089695774,1.0896958,0.0026856849,-0.99731433,0.0090336679,-2.9909663,0.060000643,-4.9399996
0.45325,0.0029603571,3.0029604,0.072727129,1.0727271,0.032350294,-0.9676497,0.047518309,-2.9524817,-0.032869119,-5.0328693
0.457875,-0.14765163,2.8523483,-0.2599926,0.7400074,-0.10330731,-1.1033074,-0.14142574,-3.1414258,0.073184915,-4.926815
0.4625,0.079227708,3.0792277,0.001648034,1.0016481,0.048037138,-0.95196289,0.044954706,-2.9550452,-0.093388595,-5.0933886
0.467125,0.081364043,3.0813642,0.19730629,1.1973063,0.12717327,-0.8728267,0.15537296,-2.8446271,-0.033235352,-5.0332355
0.47175,-0.34800982,2.6519902,-0.14945227,0.85054773,-0.18287073,-1.1828707,-0.16748908,-3.1674891,-0.10117097,-5.101171
0.476375,0.10449756,3.1044977,0.059390258,1.0593903,0.084049731,-0.9159503,0.072391421,-2.9276085,-0.12668498,-5.1266851
0.481,0.052859165,3.0528591,0.048189733,1.0481898,0.02148548,-0.97851449,0.019410178,-2.9805899,-0.11905519,-5.1190553
0.485625,-0.2339903,2.7660098,-0.25880235,0.74119765,-0.26383802,-1.2638381,-0.24931091,-3.249311,-0.028169174,-5.0281692
0.49025,0.27195609,3.271956,0.17887272,1.1788727,0.20215884,-0.79784119,0.18720444,-2.8127956,0.086155549,-4.9138446
0.494875,0.17618704,3.176187,0.2732074,1.2732074,0.23850712,-0.76149285,0.25565889,-2.7443411,0.043733936,-4.9562659
0.4995,-0.40834618,2.5916538,-0.22251511,0.77748489,-0.3463313,-1.3463314,-0.28102031,-3.2810204,-0.50094128,-5.5009413
0.504125,-0.017640067,2.9823599,0.011475199,1.0114752,-0.02722308,-1.0272231,-0.0036317785,-3.0036318,-0.2335325,-5.2335324
0.50875,0.52679098,3.5267911,0.19095829,1.1909583,0.46914032,-0.53085971,0.36656547,-2.6334345,0.44478604,-4.5552139
0.513375,-0.51430863,2.4856913,-0.36366615,0.63633382,-0.37269983,-1.3726999,-0.36378825,-3.3637881,-0.1753325,-5.1753325
0.518,-0.36223176,2.6377683,-0.18955442,0.81044555,-0.34498841,-1.3449883,-0.30143762,-3.3014376,-0.26835486,-5.2683549
