tempo_s,freq_khz,potencia_db_rel
1.688,0.84375,-56.985054
1.768,0.84375,-28.211864
1.84,0.84375,-37.516953
1.92,0.84375,-25.407333
1.992,0.84375,-32.510826
2.072,0.84375,-25.018959
2.144,0.84375,-48.729584
2.224,0.84375,-31.409309
2.296,0.84375,-42.703415
2.376,0.84375,-39.401901
2.448,0.84375,-37.152809
2.528,0.84375,-27.226891
2.6,0.84375,-33.4384
2.68,0.84375,-41.069935
2.752,0.84375,-18.270199
2.832,0.84375,-11.564468
2.904,0.84375,-25.942993
2.984,0.84375,-28.618855
0.016,1.03125,-40.844425
0.096,1.03125,-36.842079
0.168,1.03125,-34.68148
0.248,1.03125,-23.189556
0.32,1.03125,-32.790627
0.4,1.03125,-43.470028
0.472,1.03125,-43.690536
0.552,1.03125,-27.548206
0.624,1.03125,-37.172569
0.704,1.03125,-47.799286
0.776,1.03125,-41.876358
0.856,1.03125,-38.258755
0.928,1.03125,-37.866692
1.008,1.03125,-65.240723
1.08,1.03125,-46.691666
1.16,1.03125,-28.398872
1.232,1.03125,-21.241211
1.312,1.03125,-40.507381
1.384,1.03125,-52.467209
1.464,1.03125,-60.295395
1.536,1.03125,-59.422173
1.616,1.03125,-39.81707
1.688,1.03125,-42.296684
1.768,1.03125,-42.90456
1.84,1.03125,-50.399323
1.92,1.03125,-32.315804
1.992,1.03125,-42.023533
2.072,1.03125,-50.896935
2.144,1.03125,-40.697052
2.224,1.03125,-30.377617
2.296,1.03125,-49.193588
2.376,1.03125,-41.91745
2.448,1.03125,-36.151226
2.528,1.03125,-37.572506
2.6,1.03125,-33.103397
2.68,1.03125,-40.814758
2.752,1.03125,-30.943306
2.832,1.03125,-20.505157
2.904,1.03125,-16.043579
2.984,1.03125,-33.039707
0.016,1.1875,-32.149048
0.096,1.1875,-44.449238
0.168,1.1875,-36.392151
0.248,1.1875,-26.397045
0.32,1.1875,-37.364899
0.4,1.1875,-35.468983
0.472,1.1875,-38.111385
0.552,1.1875,-40.279591
0.624,1.1875,-31.350449
0.704,1.1875,-23.071392
0.776,1.1875,-47.703163
0.856,1.1875,-31.978882
0.928,1.1875,-37.294239
1.008,1.1875,-44.676788
1.08,1.1875,-25.08836
1.16,1.1875,-44.099949
1.232,1.1875,-29.437653
1.312,1.1875,-26.683304
1.384,1.1875,-29.693516
1.464,1.1875,-32.800774
1.536,1.1875,-29.812687
1.616,1.1875,-38.749466
1.688,1.1875,-31.466019
1.768,1.1875,-42.726776
1.84,1.1875,-21.053185
1.92,1.1875,-40.929081
1.992,1.1875,-33.709747
2.072,1.1875,-35.675053
2.144,1.1875,-28.921043
2.224,1.1875,-26.172287
2.296,1.1875,-38.681553
2.376,1.1875,-33.093559
2.448,1.1875,-30.467785
2.528,1.1875,-42.727459
2.6,1.1875,-47.450272
2.68,1.1875,-39.25882
2.752,1.1875,-33.605236
2.832,1.1875,-29.422726
2.904,1.1875,-30.215916
2.984,1.1875,-36.627949
0.016,1.375,-62.046158
0.096,1.375,-53.125534
0.168,1.375,-46.424545
0.248,1.375,-34.320007
0.32,1.375,-42.743343
0.4,1.375,-56.82383
0.472,1.375,-42.95583
0.552,1.375,-19.294788
0.624,1.375,-31.322865
0.704,1.375,-39.435352
0.776,1.375,-69.447746
0.856,1.375,-39.577572
0.928,1.375,-55.063164
1.008,1.375,-37.291397
1.08,1.375,-36.973621
1.16,1.375,-24.634708
1.232,1.375,-32.168453
1.312,1.375,-38.769421
1.384,1.375,-44.669537
1.464,1.375,-44.465836
1.536,1.375,-41.616844
1.616,1.375,-40.654327
1.688,1.375,-26.181149
1.768,1.375,-42.076477
1.84,1.375,-38.154881
1.92,1.375,-40.361568
1.992,1.375,-34.236008
2.072,1.375,-64.913239
2.144,1.375,-55.229332
2.224,1.375,-33.108994
2.296,1.375,-36.330055
2.376,1.375,-40.845924
2.448,1.375,-51.963516
2.528,1.375,-55.57135
2.6,1.375,-55.320648
2.68,1.375,-53.076073
2.752,1.375,-38.834816
2.832,1.375,-36.395164
2.904,1.375,-32.121914
2.984,1.375,-51.697479
0.016,1.53125,-30.876251
0.096,1.53125,-39.321297
0.168,1.53125,-41.849884
0.248,1.53125,-43.203651
0.32,1.53125,-53.587669
0.4,1.53125,-38.715027
0.472,1.53125,-37.036392
0.552,1.53125,-26.59901
0.624,1.53125,-38.348953
0.704,1.53125,-28.890686
0.776,1.53125,-31.75737
0.856,1.53125,-31.365982
0.928,1.53125,-34.066242
1.008,1.53125,-34.451149
1.08,1.53125,-45.775322
1.16,1.53125,-50.38092
1.232,1.53125,-36.224815
1.312,1.53125,-59.80661
1.384,1.53125,-49.321053
1.464,1.53125,-39.120834
1.536,1.53125,-34.708302
1.616,1.53125,-36.634903
1.688,1.53125,-40.954063
1.768,1.53125,-24.308952
1.84,1.53125,-19.292114
1.92,1.53125,-41.037457
1.992,1.53125,-34.286846
2.072,1.53125,-30.792992
2.144,1.53125,-50.392227
2.224,1.53125,-26.598858
2.296,1.53125,-39.75016
2.376,1.53125,-34.196918
2.448,1.53125,-36.47934
2.528,1.53125,-38.213276
2.6,1.53125,-35.290157
2.68,1.53125,-26.84882
2.752,1.53125,-35.594131
2.832,1.53125,-49.694038
2.904,1.53125,-25.753624
2.984,1.53125,-33.618244
0.016,1.6875,-27.262905
0.096,1.6875,-36.839867
0.168,1.6875,-49.084869
0.248,1.6875,-46.008976
0.32,1.6875,-45.607616
0.4,1.6875,-42.158081
0.472,1.6875,-44.872425
0.552,1.6875,-24.080471
0.624,1.6875,-51.800514
0.704,1.6875,-58.965454
0.776,1.6875,-54.487259
0.856,1.6875,-40.471272
0.928,1.6875,-39.926239
1.008,1.6875,-43.216389
1.08,1.6875,-45.212128
1.16,1.6875,-40.615093
1.232,1.6875,-50.819458
1.312,1.6875,-52.000847
1.384,1.6875,-39.139732
1.464,1.6875,-38.912151
1.536,1.6875,-28.515972
1.616,1.6875,-36.92075
1.688,1.6875,-17.572643
1.768,1.6875,-17.594864
1.84,1.6875,-27.680901
1.92,1.6875,-37.517193
1.992,1.6875,-25.283062
2.072,1.6875,-31.946381
2.144,1.6875,-31.136459
2.224,1.6875,-21.965141
2.296,1.6875,-30.826008
2.376,1.6875,-41.633415
2.448,1.6875,-37.854462
2.528,1.6875,-37.819927
2.6,1.6875,-65.050209
2.68,1.6875,-33.317287
2.752,1.6875,-29.874348
2.832,1.6875,-44.367565
2.904,1.6875,-28.567078
2.984,1.6875,-51.13073
0.016,1.875,-40.67144
0.096,1.875,-45.457218
0.168,1.875,-36.870407
0.248,1.875,-41.439373
0.32,1.875,-55.993126
0.4,1.875,-30.748505
0.472,1.875,-34.635849
0.552,1.875,-27.886784
0.624,1.875,-36.157242
0.704,1.875,-29.851425
0.776,1.875,-40.202419
0.856,1.875,-45.384167
0.928,1.875,-58.398209
1.008,1.875,-43.393036
1.08,1.875,-36.456161
1.16,1.875,-56.465759
1.232,1.875,-47.588684
1.312,1.875,-35.368694
1.384,1.875,-41.234009
1.464,1.875,-37.99699
1.536,1.875,-33.235706
1.616,1.875,-30.753082
1.688,1.875,-24.91774
1.768,1.875,-26.597847
1.84,1.875,-30.258038
1.92,1.875,-41.243141
1.992,1.875,-31.008629
2.072,1.875,-39.397964
2.144,1.875,-46.492386
2.224,1.875,-30.978683
2.296,1.875,-37.556221
2.376,1.875,-38.352444
2.448,1.875,-52.921005
2.528,1.875,-54.676376
2.6,1.875,-45.844322
2.68,1.875,-36.113041
2.752,1.875,-53.774567
2.832,1.875,-39.823978
2.904,1.875,-26.526123
2.984,1.875,-35.163868
0.016,2.03125,-33.03698
0.096,2.03125,-35.450706
0.168,2.03125,-33.606583
0.248,2.03125,-44.704575
0.32,2.03125,-48.657852
0.4,2.03125,-32.280224
0.472,2.03125,-48.908783
0.552,2.03125,-32.514027
0.624,2.03125,-58.612488
0.704,2.03125,-46.473068
0.776,2.03125,-43.255768
0.856,2.03125,-40.757725
0.928,2.03125,-45.933426
1.008,2.03125,-61.951149
1.08,2.03125,-50.88652
1.16,2.03125,-31.279758
1.232,2.03125,-40.411995
1.312,2.03125,-43.533188
1.384,2.03125,-27.376213
1.464,2.03125,-45.350014
1.536,2.03125,-53.118095
1.616,2.03125,-35.683506
1.688,2.03125,-37.051422
1.768,2.03125,-24.534988
1.84,2.03125,-22.691116
1.92,2.03125,-41.092991
1.992,2.03125,-34.491844
2.072,2.03125,-51.793839
2.144,2.03125,-35.83889
2.224,2.03125,-44.929699
2.296,2.03125,-36.259361
2.376,2.03125,-42.668812
2.448,2.03125,-40.010918
2.528,2.03125,-47.535614
2.6,2.03125,-36.0434
2.68,2.03125,-39.114063
2.752,2.03125,-53.111176
2.832,2.03125,-36.061623
2.904,2.03125,-43.813984
2.984,2.03125,-63.412033
0.016,2.21875,-56.763626
0.096,2.21875,-43.769089
0.168,2.21875,-32.109642
0.248,2.21875,-23.658794
0.32,2.21875,-45.926449
0.4,2.21875,-37.829613
0.472,2.21875,-38.154701
0.552,2.21875,-32.681667
0.624,2.21875,-40.799416
0.704,2.21875,-50.371315
0.776,2.21875,-43.23394
0.856,2.21875,-36.911034
0.928,2.21875,-47.047539
1.008,2.21875,-54.261192
1.08,2.21875,-62.843033
1.16,2.21875,-28.47768
1.232,2.21875,-35.215492
1.312,2.21875,-27.712677
1.384,2.21875,-42.181293
1.464,2.21875,-46.26358
1.536,2.21875,-33.886684
1.616,2.21875,-32.933983
1.688,2.21875,-23.447525
1.768,2.21875,-24.242409
1.84,2.21875,-33.879536
1.92,2.21875,-44.067806
1.992,2.21875,-37.396992
2.072,2.21875,-55.519638
2.144,2.21875,-26.263206
2.224,2.21875,-42.370682
2.296,2.21875,-28.034836
2.376,2.21875,-33.522495
2.448,2.21875,-42.486954
2.528,2.21875,-31.115936
2.6,2.21875,-33.580864
2.68,2.21875,-39.263168
2.752,2.21875,-35.784
2.832,2.21875,-40.702477
2.904,2.21875,-42.640011
2.984,2.21875,-33.497414
0.016,2.375,-32.655212
0.096,2.375,-43.871922
0.168,2.375,-39.046028
0.248,2.375,-54.323563
0.32,2.375,-50.477638
0.4,2.375,-62.052872
0.472,2.375,-33.724834
0.552,2.375,-33.251198
0.624,2.375,-57.642502
0.704,2.375,-43.722122
0.776,2.375,-38.278316
0.856,2.375,-53.714874
0.928,2.375,-38.228924
1.008,2.375,-31.172718
1.08,2.375,-45.147274
1.16,2.375,-35.636421
1.232,2.375,-36.147541
1.312,2.375,-29.32663
1.384,2.375,-47.000404
1.464,2.375,-38.741879
1.536,2.375,-53.129074
1.616,2.375,-44.234699
1.688,2.375,-48.709755
1.768,2.375,-44.996078
1.84,2.375,-43.779694
1.92,2.375,-39.819733
1.992,2.375,-41.875839
2.072,2.375,-40.991108
2.144,2.375,-48.52993
2.224,2.375,-55.624641
2.296,2.375,-35.166805
2.376,2.375,-61.543823
2.448,2.375,-54.409531
2.528,2.375,-45.081352
2.6,2.375,-40.56897
2.68,2.375,-36.261879
2.752,2.375,-44.895863
2.832,2.375,-27.802849
2.904,2.375,-55.232544
2.984,2.375,-48.43763
0.016,2.5625,-33.39386
0.096,2.5625,-55.187111
0.168,2.5625,-38.262798
0.248,2.5625,-40.906631
0.32,2.5625,-32.205269
0.4,2.5625,-70
0.472,2.5625,-35.042927
0.552,2.5625,-46.458588
0.624,2.5625,-24.109959
0.704,2.5625,-32.962902
0.776,2.5625,-43.918961
0.856,2.5625,-27.711906
0.928,2.5625,-28.878849
1.008,2.5625,-24.210957
1.08,2.5625,-45.104816
1.16,2.5625,-38.4506
1.232,2.5625,-39.603836
1.312,2.5625,-43.563568
1.384,2.5625,-36.953613
1.464,2.5625,-27.032104
1.536,2.5625,-58.874855
1.616,2.5625,-29.333843
1.688,2.5625,-20.522224
1.768,2.5625,-34.49794
1.84,2.5625,-41.409885
1.92,2.5625,-24.32933
1.992,2.5625,-41.37011
2.072,2.5625,-38.117615
2.144,2.5625,-31.832886
2.224,2.5625,-59.524132
2.296,2.5625,-31.712231
2.376,2.5625,-25.304035
2.448,2.5625,-41.89296
2.528,2.5625,-46.837425
2.6,2.5625,-38.373306
2.68,2.5625,-37.834846
2.752,2.5625,-31.270592
2.832,2.5625,-42.744663
2.904,2.5625,-45.095886
2.984,2.5625,-27.025517
