snr_alvo_db,noisy,stft_subtraction,stft_wiener,wavelet_soft
-5,0,9.6347873,7.4642302,2.1514469
0,0,8.4241444,6.891395,1.1571405
5,0,7.1468112,6.2180792,0.14541232
10,0,5.891733,5.4893657,-0.92162877
