split,candidate_id,family,snr_target_db,n_conditions,snr_improvement_mean_db,snr_improvement_std_db,snr_improvement_min_db,snr_degradation_fraction,si_sdr_improvement_mean_db,processing_mean_ms,rtf_mean
final,noisy,baseline,-5,18,0.0,0.0,0.0,0.0,0.0,0.022061111141940475,7.353703713980159e-06
final,sub_n512_h160_low_energy_q0.35_a1.5_f0.02,stft_subtraction,-5,18,6.11238190392255,0.9263289253442876,5.052705315967578,0.0,2.7636970030852392,12.447016666669697,0.004149005555556566
final,stft_subtraction_default_initial,stft_subtraction_default,-5,18,5.322321376701613,0.8601946501812509,3.9805018434356727,0.0,0.7265863916981002,12.79187222221228,0.004263957407404093
final,wiener_n512_h160_low_energy_q0.35_f0.05,stft_wiener,-5,18,2.902420197763857,0.7131541327787226,1.8031107443303531,0.0,1.4592181986272525,7.749399999978676,0.0025831333333262256
final,stft_wiener_default_initial,stft_wiener_default,-5,18,3.4873259562876466,0.8665213461403485,2.0180490316448303,0.0,0.3749950388131786,6.7956055555542765,0.0022652018518514254
final,wavelet_sym4_l3_hard_global_s0.5,wavelet,-5,18,0.033179655153319366,0.024263324031753433,0.0004630104826635062,0.0,-0.0021267525469637802,1.6508888889019444,0.0005502962963006481
final,wavelet_default_db4_l5_soft,wavelet_default,-5,18,0.5211557112903358,0.3140922984750785,-0.004850190130244236,0.05555555555555555,-0.8228429932550794,4.412127777754904,0.0014707092592516344
final,noisy,baseline,0,18,0.0,0.0,0.0,0.0,0.0,0.023538888866722927,7.846296288907643e-06
final,sub_n512_h160_low_energy_q0.35_a1.5_f0.02,stft_subtraction,0,18,5.392405174872421,0.7849566771049206,4.396622570003698,0.0,3.98284472145758,13.262844444423333,0.004420948148141111
final,stft_subtraction_default_initial,stft_subtraction_default,0,18,3.557422914921503,1.3631301466614014,1.7322160411003669,0.0,0.9790815314801107,13.271694444445833,0.0044238981481486105
final,wiener_n512_h160_low_energy_q0.35_f0.05,stft_wiener,0,18,2.954085849670224,0.7226513101342432,1.908202773136304,0.0,2.221455703888983,7.071044444475977,0.0023570148148253254
final,stft_wiener_default_initial,stft_wiener_default,0,18,2.7185258060477975,0.9096004132404657,0.8907763434497884,0.0,0.5120756756974153,7.084872222208105,0.0023616240740693684
final,wavelet_sym4_l3_hard_global_s0.5,wavelet,0,18,0.02943838783370116,0.022735485314241296,-0.0007064777060643887,0.05555555555555555,0.010099962028260693,1.7799444444664105,0.0005933148148221368
final,wavelet_default_db4_l5_soft,wavelet_default,0,18,0.4220457670252567,0.2799403261124493,-0.0368674136016646,0.05555555555555555,-0.46489741083576713,2.2292055555479036,0.000743068518515968
final,noisy,baseline,5,18,0.0,0.0,0.0,0.0,0.0,0.025699999986904407,8.56666666230147e-06
