split,noise_group,candidate_id,family,n_conditions,snr_improvement_mean_db,snr_improvement_std_db,si_sdr_improvement_mean_db,rtf_mean
final,PCAFETER,noisy,baseline,36,0.0,0.0,0.0,7.91574074001902e-06
final,PCAFETER,sub_n512_h160_low_energy_q0.35_a1.5_f0.02,stft_subtraction,36,4.207764116577505,1.2461663688001783,2.8074649164519823,0.004207486111111106
final,PCAFETER,stft_subtraction_default_initial,stft_subtraction_default,36,1.612595557165215,3.939947182988752,-0.5636376900166966,0.0042455379629671
final,PCAFETER,wiener_n512_h160_low_energy_q0.35_f0.05,stft_wiener,36,2.6490409945366764,0.24892204814947252,1.8692222301664567,0.002364495370369679
final,PCAFETER,stft_wiener_default_initial,stft_wiener_default,36,1.2606970334820278,2.8592144855212873,-0.5414241546027965,0.002341160185182987
final,PCAFETER,wavelet_sym4_l3_hard_global_s0.5,wavelet,36,0.020337030624668066,0.012512702689744417,0.002214102968354925,0.0006076574074048343
final,PCAFETER,wavelet_default_db4_l5_soft,wavelet_default,36,0.4221529805829098,0.2949108009507522,-0.3445608141252083,0.001070500925920812
final,STRAFFIC,noisy,baseline,36,0.0,0.0,0.0,7.713888888045201e-06
final,STRAFFIC,sub_n512_h160_low_energy_q0.35_a1.5_f0.02,stft_subtraction,36,5.487569538727417,1.2173772879305234,4.625338215204658,0.00431862129629592
final,STRAFFIC,stft_subtraction_default_initial,stft_subtraction_default,36,2.0176359619600266,4.194254017030567,0.23378285920055847,0.004242224074070472
final,STRAFFIC,wiener_n512_h160_low_energy_q0.35_f0.05,stft_wiener,36,3.1918401648463504,0.8917250620416782,2.6366962002261882,0.002400089814812047
final,STRAFFIC,stft_wiener_default_initial,stft_wiener_default,36,1.345170124876651,3.046400490543045,-0.26762770722570756,0.002303870370374844
final,STRAFFIC,wavelet_sym4_l3_hard_global_s0.5,wavelet,36,0.031288051340471724,0.03011988546779598,0.014205522186331662,0.0005469546296336812
final,STRAFFIC,wavelet_default_db4_l5_soft,wavelet_default,36,0.20896948638607993,0.35126334650901614,-0.5716393334452483,0.0006786009259203469
validation,DKITCHEN,noisy,baseline,36,0.0,0.0,0.0,7.803703708843924e-06
validation,DKITCHEN,sub_n512_h160_low_energy_q0.35_a1.5_f0.02,stft_subtraction,36,5.584707211079104,1.5547237786856825,4.943033844308515,0.00411022129629533
validation,DKITCHEN,stft_subtraction_default_initial,stft_subtraction_default,36,1.4474020785681148,4.946964445181611,-0.44790905252642266,0.004004803703701832
validation,DKITCHEN,wiener_n512_h160_low_energy_q0.35_f0.05,stft_wiener,36,2.742994767637473,0.4607362848783913,2.1235438734428067,0.0022247425925919976
validation,DKITCHEN,stft_wiener_default_initial,stft_wiener_default,36,1.1991407557865368,3.824342969573214,-0.8685059316103919,0.0022451768518441926
validation,DKITCHEN,wavelet_sym4_l3_hard_global_s0.5,wavelet,36,0.2815917633972984,0.10593999362712408,0.1226216857539507,0.0005330046296286902
validation,DKITCHEN,wavelet_default_db4_l5_soft,wavelet_default,36,-0.5665369536799374,0.5903645910360728,-2.872796558948903,0.0006451444444484911
validation,OOFFICE,noisy,baseline,36,0.0,0.0,0.0,7.434259257647851e-06
validation,OOFFICE,sub_n512_h160_low_energy_q0.35_a1.5_f0.02,stft_subtraction,36,3.924051731366563,1.643268501610816,2.9854207203997283,0.0046306620370370625
validation,OOFFICE,stft_subtraction_default_initial,stft_subtraction_default,36,0.9048592707351111,4.70430940176617,-1.4106919405424474,0.004271775925928978
validation,OOFFICE,wiener_n512_h160_low_energy_q0.35_f0.05,stft_wiener,36,1.7257738142728014,0.7153684456864854,1.1107374222862179,0.0024207972222248593
validation,OOFFICE,stft_wiener_default_initial,stft_wiener_default,36,0.8407504670555077,3.788703555545225,-1.340356722554247,0.002270062037043603
validation,OOFFICE,wavelet_sym4_l3_hard_global_s0.5,wavelet,36,-0.007203654059530457,0.010996102856796473,-0.01417795838528585,0.0005737388888873182
validation,OOFFICE,wavelet_default_db4_l5_soft,wavelet_default,36,-0.12410673627217622,0.15404149055539879,-0.49534903877937975,0.0006461462962950767
