split,speaker,noise,noise_group,snr_target_db,candidate_id,family,method,input_snr_db,output_snr_db,snr_improvement_db,input_si_sdr_db,output_si_sdr_db,si_sdr_improvement_db,processing_ms,rtf
validation,jackson,dkitchen_ch01_seg01,DKITCHEN,5,wiener_n512_h160_low_energy_q0.35_f0.05,stft_wiener,stft_wiener,4.999999650816238,7.204043416112643,2.2040437652964053,4.989251383679722,6.644992480009156,1.6557410963294341,5.65310000001773,0.0018843666666725767
validation,jackson,dkitchen_ch01_seg01,DKITCHEN,5,wavelet_sym4_l3_hard_global_s0.5,wavelet,wavelet_soft,4.999999650816238,5.292309175649443,0.2923095248332048,4.989251383679722,5.204418578281153,0.21516719460143108,1.3943000001290784,0.0004647666667096928
validation,jackson,dkitchen_ch01_seg01,DKITCHEN,10,noisy,baseline,noisy,9.999999906933843,9.999999906933843,0.0,9.993968339155076,9.993968339155076,0.0,0.019699999938893598,6.5666666462978656e-06
validation,jackson,dkitchen_ch01_seg01,DKITCHEN,10,stft_subtraction_default_initial,stft_subtraction_default,stft_subtraction,9.999999906933843,6.5653364413984665,-3.434663465535376,9.993968339155076,6.690836115251614,-3.3031322239034626,8.454300000039439,0.002818100000013146
validation,jackson,dkitchen_ch01_seg01,DKITCHEN,10,stft_wiener_default_initial,stft_wiener_default,stft_wiener,9.999999906933843,7.701088788713037,-2.298911118220806,9.993968339155076,7.0901092873763325,-2.9038590517787437,4.733600000008664,0.0015778666666695547
validation,jackson,dkitchen_ch01_seg01,DKITCHEN,10,wavelet_default_db4_l5_soft,wavelet_default,wavelet_soft,9.999999906933843,8.627888996698212,-1.3721109102356301,9.993968339155076,7.987395099692094,-2.0065732394629823,1.072200000180601,0.0003574000000602003
validation,jackson,dkitchen_ch01_seg01,DKITCHEN,10,sub_n512_h160_low_energy_q0.35_a1.5_f0.02,stft_subtraction,stft_subtraction,9.999999906933843,11.646468518396155,1.6464686114623124,9.993968339155076,12.54954376609968,2.5555754269446034,10.056300000087504,0.003352100000029168
validation,jackson,dkitchen_ch01_seg01,DKITCHEN,10,wiener_n512_h160_low_energy_q0.35_f0.05,stft_wiener,stft_wiener,9.999999906933843,12.088328622394666,2.0883287154608237,9.993968339155076,11.811646228361,1.8176778892059247,4.950799999960509,0.001650266666653503
validation,jackson,dkitchen_ch01_seg01,DKITCHEN,10,wavelet_sym4_l3_hard_global_s0.5,wavelet,wavelet_soft,9.999999906933843,10.217146682113373,0.21714677517953085,9.993968339155076,10.176289953476068,0.18232161432099225,1.5083999999205844,0.0005027999999735281
validation,jackson,dkitchen_ch01_seg02,DKITCHEN,-5,noisy,baseline,noisy,-4.999999673230314,-4.999999673230314,0.0,-5.016830452245448,-5.016830452245448,0.0,0.018299999965165625,6.099999988388542e-06
