split,candidate_id,family,n_conditions,snr_improvement_mean_db,snr_improvement_std_db,snr_improvement_min_db,snr_degradation_fraction,si_sdr_improvement_mean_db,processing_mean_ms,processing_worst_ms,rtf_mean,rtf_worst
final,noisy,baseline,72,0.0,0.0,0.0,0.0,0.0,0.02344444444209633,0.05409999994299142,7.81481481403211e-06,1.8033333314330473e-05
final,sub_n512_h160_low_energy_q0.35_a1.5_f0.02,stft_subtraction,72,4.847666827652461,1.3825118359301671,1.0599185623927845,0.0,3.7164015658283196,12.78916111111054,20.948299999872688,0.004263053703703513,0.006982766666624229
final,stft_subtraction_default_initial,stft_subtraction_default,72,1.8151157595626206,4.0454744474891555,-6.2913042446716165,0.3333333333333333,-0.16492741540806902,12.731643055556358,17.889700000068842,0.004243881018518786,0.005963233333356281
final,wiener_n512_h160_low_energy_q0.35_f0.05,stft_wiener,72,2.9204405796915136,0.7051431673499768,1.8031107443303531,0.0,2.2529592151963223,7.146877777772589,21.984799999927418,0.002382292592590863,0.007328266666642473
final,stft_wiener_default_initial,stft_wiener_default,72,1.3029335791793395,2.933720088181806,-5.190364378248587,0.2777777777777778,-0.40452593091425204,6.967545833336747,9.206799999901705,0.0023225152777789156,0.0030689333333005684
final,wavelet_sym4_l3_hard_global_s0.5,wavelet,72,0.0258125409825699,0.023554186974692002,-0.01385060840493857,0.1111111111111111,0.008209812577343292,1.7319180555577733,3.115100000059101,0.0005773060185192578,0.0010383666666863671
final,wavelet_default_db4_l5_soft,wavelet_default,72,0.31556123348449483,0.33944011085153175,-0.46400183706807674,0.19444444444444445,-0.4581000737852283,2.623652777761739,49.436000000014246,0.0008745509259205796,0.016478666666671415
validation,noisy,baseline,72,0.0,0.0,0.0,0.0,0.0,0.022856944449737664,0.0560999999379419,7.618981483245888e-06,1.869999997931397e-05
validation,sub_n512_h160_low_energy_q0.35_a1.5_f0.02,stft_subtraction,72,4.754379471222834,1.7949553255662367,0.2160510721057296,0.0,3.9642272823541216,13.111324999998589,62.92150000012953,0.004370441666666196,0.020973833333376508
validation,stft_subtraction_default_initial,stft_subtraction_default,72,1.1761306746516127,4.800825625150536,-7.560089144382279,0.375,-0.929300496534435,12.414869444446216,27.792900000122245,0.004138289814815405,0.009264300000040748
validation,wiener_n512_h160_low_energy_q0.35_f0.05,stft_wiener,72,2.2343842909551372,0.7869207257209724,0.7246535285027944,0.0,1.6171406478645123,6.968309722225285,14.017499999908978,0.0023227699074084285,0.004672499999969659
validation,stft_wiener_default_initial,stft_wiener_default,72,1.0199456114210224,3.7839683452886423,-6.478885796175552,0.3888888888888889,-1.1044313270823194,6.772858333331694,8.984199999986231,0.002257619444443898,0.002994733333328744
validation,wavelet_sym4_l3_hard_global_s0.5,wavelet,72,0.13719405466888399,0.16351323998011771,-0.039604374427097966,0.4583333333333333,0.05422186368433243,1.6601152777740127,2.954200000203855,0.0005533717592580042,0.0009847333334012849
validation,wavelet_default_db4_l5_soft,wavelet_default,72,-0.3453218449760567,0.4828388840080337,-1.7912942069908997,0.8888888888888888,-1.6840727988641413,1.9369361111153518,3.1168000000434404,0.0006456453703717839,0.0010389333333478135
