arquivo,label,sample_rate,block_ms,method,noise_mode,calibration_ms,n_fft,hop_length,blocks,processing_mean_ms,processing_worst_ms,processing_std_ms,processing_p95_ms,processing_p99_ms,rtf_block_mean,rtf_block_worst,blocks_over_budget,state_memory_max_bytes,speech_probable_fraction,warming_blocks,input_latency_ms,output_latency_ms,io_total_latency_ms,algorithmic_latency_estimated_ms,total_latency_estimated_ms,status_counts
windows_bypass_20ms_20260608_105114_metrics.json,windows,16000,20.0,bypass,adaptive,250.0,512,160,148,0.06960337855530638,0.15759999951114878,0.0425472859453107,0.12973499869985972,0.14619300163758453,0.003480168927765319,0.007879999975557439,0,57952,0.0,0,40.0,200.0,240.00000000000003,0.0,240.00000000000003,{}
windows_stft_subtraction_20ms_20260608_105301_metrics.json,windows,16000,20.0,stft_subtraction,adaptive,250.0,512,160,248,1.2654879034133986,3.9410000026691705,0.48248214049708954,2.11884000163991,3.2840369983023265,0.06327439517066992,0.19705000013345852,0,60900,0.18951612903225806,13,40.0,200.0,240.00000000000003,32.0,272.0,{}
windows_stft_subtraction_20ms_20260608_110542_metrics.json,windows,16000,20.0,stft_subtraction,adaptive,250.0,512,160,1498,1.2385720293728002,4.811499995412305,0.3569715113814398,1.7612349973205688,2.6881839979614566,0.061928601468640015,0.24057499977061525,0,60900,0.2096128170894526,13,40.0,200.0,240.00000000000003,32.0,272.0,{}
windows_stft_subtraction_20ms_20260608_111612_metrics.json,windows,16000,20.0,stft_subtraction,adaptive,250.0,512,160,29998,1.258680858725458,7.300900004338473,0.4425360036940961,1.9652299975859928,3.2829749975644487,0.0629340429362729,0.36504500021692365,0,60900,0.22401493432895525,13,40.0,200.0,240.00000000000003,32.0,272.0,{}
