amostra,ruido,snr_alvo_db,snr_entrada_observado_db,metodo,snr_saida_db,melhoria_snr_db,mse,si_sdr_db,tempo_processamento_s,duracao_audio_s,rtf,latencia_algoritmica_ms,memoria_aproximada_kb
speech_jackson,white,-5,-4.999999857463287,noisy,-4.999999857463287,0.0,0.07962397371697304,-5.006305154572903,7.200000254670158e-06,3.0,2.4000000848900527e-06,0.0,187.5
speech_jackson,white,-5,-4.999999857463287,stft_subtraction,4.4233644051154455,9.423364262578733,0.009093004825681048,2.673346947437145,0.006540399997902568,3.0,0.0021801333326341896,32.0,1788.9609375
speech_jackson,white,-5,-4.999999857463287,stft_wiener,1.2566164783085956,6.2566163357718825,0.018853075822127172,0.3842576057734029,0.0038420999990194105,3.0,0.0012806999996731367,32.0,1788.9609375
speech_jackson,white,-5,-4.999999857463287,wavelet_soft,1.2651172928769319,6.2651171503402185,0.018816209189396964,-4.631471509787869,0.0010158000004594214,3.0,0.00033860000015314046,32.0,375.25
speech_jackson,white,0,3.3592286414836714e-08,noisy,3.3592286414836714e-08,0.0,0.02517931194763472,-0.003540616133111266,7.000002369750291e-06,3.0,2.333334123250097e-06,0.0,187.5
speech_jackson,white,0,3.3592286414836714e-08,stft_subtraction,8.476024643801939,8.476024610209652,0.003576361390169593,7.850475682986651,0.006857299998955568,3.0,0.0022857666663185228,32.0,1788.9609375
speech_jackson,white,0,3.3592286414836714e-08,stft_wiener,5.947725438760307,5.947725405168021,0.006401346239152969,5.539340214871064,0.003615899997384986,3.0,0.0012052999991283286,32.0,1788.9609375
speech_jackson,white,0,3.3592286414836714e-08,wavelet_soft,3.2193574553670734,3.219357421774787,0.011997979513404776,0.7510412826027695,0.0008839000001898967,3.0,0.0002946333333966322,32.0,375.25
speech_jackson,white,5,4.9999997251652415,noisy,4.9999997251652415,0.0,0.00796239814028392,4.998013357202255,8.600000001024455e-06,3.0,2.8666666670081518e-06,0.0,187.5
speech_jackson,white,5,4.9999997251652415,stft_subtraction,12.406559690176229,7.406559965010987,0.0014467313523522612,12.377751895580605,0.005572100002609659,3.0,0.001857366667536553,32.0,1788.9609375
speech_jackson,white,5,4.9999997251652415,stft_wiener,10.551602309175017,5.551602584009776,0.0022176021360558267,10.367571810182689,0.003562199999578297,3.0,0.0011873999998594325,32.0,1788.9609375
speech_jackson,white,5,4.9999997251652415,wavelet_soft,5.654248382971618,0.6542486578063764,0.006848871591231055,4.998941570649376,0.0009167999996861909,3.0,0.00030559999989539693,32.0,375.25
speech_jackson,white,10,9.999999943668833,noisy,9.999999943668833,0.0,0.0025179312493234774,9.998887485339642,6.70000008540228e-06,3.0,2.23333336180076e-06,0.0,187.5
speech_jackson,white,10,9.999999943668833,stft_subtraction,16.319744580751234,6.319744637082401,0.0005875832457223705,16.57187560484634,0.006072699998185271,3.0,0.0020242333327284237,32.0,1788.9609375
speech_jackson,white,10,9.999999943668833,stft_wiener,15.108419500436375,5.108419556767542,0.0007766080934885509,15.029767064684176,0.0037837999989278615,3.0,0.001261266666309287,32.0,1788.9609375
speech_jackson,white,10,9.999999943668833,wavelet_soft,8.553904064993224,-1.4460958786756084,0.003512800251593481,8.789183525728978,0.000872299999173265,3.0,0.00029076666639108833,32.0,375.25
speech_jackson,pink,-5,-4.9999996991207,noisy,-4.9999996991207,0.0,0.0796239708270438,-4.821188549039423,7.300001016119495e-06,3.0,2.4333336720398315e-06,0.0,187.5
speech_jackson,pink,-5,-4.9999996991207,stft_subtraction,4.971632459353475,9.971632158474176,0.00801457718899812,3.378009409649306,0.006524899999931222,3.0,0.0021749666666437406,32.0,1788.9609375
speech_jackson,pink,-5,-4.9999996991207,stft_wiener,2.9993050013440503,7.99930470046475,0.01262156946784576,1.7536963617240133,0.003669699999591103,3.0,0.0012232333331970342,32.0,1788.9609375
speech_jackson,pink,-5,-4.9999996991207,wavelet_soft,-3.8472674693774978,1.152732229743202,0.061061941509996366,-7.69592980662636,0.001403900001605507,3.0,0.00046796666720183566,32.0,375.25
speech_jackson,pink,0,-2.419207789660998e-07,noisy,-2.419207789660998e-07,0.0,0.025179313564013144,0.10126087650607218,6.499998562503606e-06,3.0,2.166666187501202e-06,0.0,187.5
speech_jackson,pink,0,-2.419207789660998e-07,stft_subtraction,8.236632046788095,8.236632288708874,0.0037790327647383216,7.971368193187018,0.00634130000253208,3.0,0.0021137666675106934,32.0,1788.9609375
speech_jackson,pink,0,-2.419207789660998e-07,stft_wiener,7.258592346614582,7.258592588535361,0.004733524476958146,6.691034663134918,0.003498600002785679,3.0,0.0011662000009285596,32.0,1788.9609375
speech_jackson,pink,0,-2.419207789660998e-07,wavelet_soft,0.725163391372224,0.7251636332930029,0.02130725595178396,-1.5791328350966995,0.0009925000013026875,3.0,0.00033083333376756247,32.0,375.25
speech_jackson,pink,5,5.000000285517723,noisy,5.000000285517723,0.0,0.007962397110437145,5.057345714201729,6.79999720887281e-06,3.0,2.266665736290937e-06,0.0,187.5
speech_jackson,pink,5,5.000000285517723,stft_subtraction,11.649649766123893,6.64964948060617,0.0017221813637337874,12.001900853421233,0.006449800002883421,3.0,0.0021499333342944738,32.0,1788.9609375
speech_jackson,pink,5,5.000000285517723,stft_wiener,11.49269497955406,6.492694694036336,0.0017855596522274417,11.252646665911088,0.004341799998655915,3.0,0.0014472666662186384,32.0,1788.9609375
speech_jackson,pink,5,5.000000285517723,wavelet_soft,5.216382537339074,0.21638225182135074,0.007575400672730159,4.021493287403156,0.0009213000012096018,3.0,0.00030710000040320057,32.0,375.25
speech_jackson,pink,10,10.000000235593944,noisy,10.000000235593944,0.0,0.0025179310802959745,10.032552173341447,9.60000033956021e-06,3.0,3.200000113186737e-06,0.0,187.5
speech_jackson,pink,10,10.000000235593944,stft_subtraction,15.328105743740892,5.3281055081469475,0.0007383007128251823,15.94743910260248,0.006055699999706121,3.0,0.002018566666568707,32.0,1788.9609375
speech_jackson,pink,10,10.000000235593944,stft_wiener,15.817760530747368,5.817760295153423,0.0006595805023758585,15.725246341248457,0.003580399999918882,3.0,0.0011934666666396272,32.0,1788.9609375
speech_jackson,pink,10,10.000000235593944,wavelet_soft,9.588912713795146,-0.41108752179879815,0.0027679139891581745,9.0831736589016,0.0008796000001893844,3.0,0.00029320000006312813,32.0,375.25
speech_jackson,hum,-5,-4.999999749732523,noisy,-4.999999749732523,0.0,0.0796239717538418,-5.007045466993279,6.399997801054269e-06,3.0,2.133332600351423e-06,0.0,187.5
speech_jackson,hum,-5,-4.999999749732523,stft_subtraction,12.643553424592827,17.64355317432535,0.0013698989079417938,12.599868865637777,0.0062952999978733715,3.0,0.0020984333326244573,32.0,1788.9609375
speech_jackson,hum,-5,-4.999999749732523,stft_wiener,10.197168855801745,15.19716860553427,0.0024061737040970096,9.994012226946209,0.0036054999982297886,3.0,0.0012018333327432629,32.0,1788.9609375
speech_jackson,hum,-5,-4.999999749732523,wavelet_soft,-5.038946321991818,-0.03894657225929521,0.08034123332986932,-8.077448692023596,0.0009237999984179623,3.0,0.00030793333280598745,32.0,375.25
