candidate_id,family,execution_mode,block_ms,block_samples,n_conditions,snr_improvement_mean_db,si_sdr_improvement_mean_db,processing_mean_ms,processing_p95_ms,processing_p99_ms,processing_worst_ms,rtf_total_mean,blocks_over_budget,state_memory_max_bytes,all_lengths_preserved,max_sample_index_offset
bypass_causal_10ms,bypass,causal_blocks,10.0,160,2,0.0,0.0,0.02505133315329052,0.03471250220172806,0.04113900293305038,0.1731000011204742,0.0025051333153290516,0,57952,True,0
bypass_causal_20ms,bypass,causal_blocks,20.0,320,2,0.0,0.0,0.037475000038587794,0.04832500217162305,0.08333249883435168,0.3530000030878,0.00187375000192939,0,57952,True,0
bypass_causal_32ms,bypass,causal_blocks,32.0,512,2,0.0,0.0,0.03046382977466218,0.04742499859275995,0.07144950319343454,0.1286999977310188,0.000954533332939415,0,57952,True,0
stft_subtraction_causal_10ms,stft_subtraction,causal_blocks,10.0,160,2,3.3625803529938785,1.218326765871062,1.1089960001239283,1.6311399969708873,2.1227115001602206,2.8039000026183203,0.11089960001239282,0,60900,True,0
stft_subtraction_causal_20ms,stft_subtraction,causal_blocks,20.0,320,2,3.2691036866214365,1.274479127441892,1.6121016663722307,2.243215001180942,2.7580154970200947,3.374199994141236,0.08060508331861152,0,60900,True,0
stft_subtraction_causal_32ms,stft_subtraction,causal_blocks,32.0,512,2,3.248826349573532,1.3503070560988593,2.180644148888569,3.1158300003880863,3.409086997926349,4.1409999976167455,0.06832684999850851,0,60900,True,0
stft_subtraction_low_energy_offline,stft_subtraction,offline_file,0.0,0,2,4.3074290414672145,2.144935688041749,11.044550003134646,11.044550003134646,11.044550003134646,12.255200002982747,0.0036815166677115485,0,0,True,0
stft_wiener_causal_10ms,stft_wiener,causal_blocks,10.0,160,2,1.5436117473671898,0.7375235797256372,1.065277166647623,1.597264999327308,2.4863529979847954,9.122900002694223,0.10652771666476232,0,60900,True,0
stft_wiener_causal_20ms,stft_wiener,causal_blocks,20.0,320,2,1.325125301909896,0.6722057519475593,1.5617133330185122,2.0117324993407237,2.4046794989044407,3.0820999963907525,0.0780856666509256,0,60900,True,0
stft_wiener_causal_32ms,stft_wiener,causal_blocks,32.0,512,2,1.2704807062268269,0.6776602574509725,2.2015994678401922,3.3089724976889556,3.6615834974509167,4.26040000456851,0.06898344999232602,0,60900,True,0
stft_wiener_low_energy_offline,stft_wiener,offline_file,0.0,0,2,2.8534834809370304,1.6759998923529773,6.833900002675364,6.833900002675364,6.833900002675364,7.557299999461975,0.002277966667558455,0,0,True,0
