family,snr_target_db,block_ms,snr_improvement_db,offline_snr_improvement_db,snr_gap_to_offline_db,si_sdr_improvement_db,offline_si_sdr_improvement_db,si_sdr_gap_to_offline_db
stft_subtraction,-5,10.0,4.464850170523461,5.65150776247362,1.1866575919501585,1.027491482308875,1.5028181311993412,0.47532664889046616
stft_subtraction,-5,20.0,4.128907415342372,5.65150776247362,1.522600347131248,0.9890085707071083,1.5028181311993412,0.5138095604922328
stft_subtraction,-5,32.0,4.036197234328936,5.65150776247362,1.6153105281446836,1.081465914644987,1.5028181311993412,0.4213522165543542
stft_wiener,-5,10.0,1.6746170300956207,2.833121200687956,1.1585041705923351,0.5112861276207514,1.018430258296652,0.5071441306759006
stft_wiener,-5,20.0,1.4029174291119668,2.833121200687956,1.430203771575989,0.462830379379648,1.018430258296652,0.555599878917004
stft_wiener,-5,32.0,1.328820518445034,2.833121200687956,1.504300682242922,0.46851516080085,1.018430258296652,0.549915097495802
stft_subtraction,5,10.0,2.2603105354642956,2.9633503204608083,0.7030397849965127,1.4091620494332489,2.7870532448841576,1.3778911954509088
stft_subtraction,5,20.0,2.409299957900501,2.9633503204608083,0.5540503625603073,1.5599496841766758,2.7870532448841576,1.2271035607074818
stft_subtraction,5,32.0,2.461455464818128,2.9633503204608083,0.5018948556426803,1.6191481975527315,2.7870532448841576,1.167905047331426
stft_wiener,5,10.0,1.4126064646387588,2.8738457611861055,1.4612392965473466,0.963761031830523,2.3335695264093026,1.3698084945787796
stft_wiener,5,20.0,1.2473331747078253,2.8738457611861055,1.6265125864782801,0.8815811245154705,2.3335695264093026,1.451988401893832
stft_wiener,5,32.0,1.2121408940086198,2.8738457611861055,1.6617048671774857,0.886805354101095,2.3335695264093026,1.4467641723082076
