speaker,noise,noise_group,snr_target_db,candidate_id,family,execution_mode,noise_mode,block_ms,block_samples,input_samples,output_samples,length_preserved,sample_index_offset,input_snr_db,output_snr_db,snr_improvement_db,input_si_sdr_db,output_si_sdr_db,si_sdr_improvement_db,processing_total_ms,rtf_total,blocks,processing_mean_ms,processing_worst_ms,processing_std_ms,processing_p50_ms,processing_p95_ms,processing_p99_ms,rtf_block_mean,rtf_block_worst,blocks_over_budget,state_memory_max_bytes,speech_probable_fraction,warming_blocks
george,pcafeter_ch01_seg01,PCAFETER,-5,bypass_causal_10ms,bypass,causal_blocks,adaptive,10.0,160,48000,48000,True,0,-4.999999967495893,-4.999999967495893,0.0,-5.051744579325874,-5.051744579325874,0.0,8.307399846671615,0.0027691332822238715,300,0.027691332822238717,0.1731000011204742,0.01122518874787798,0.02890000178012997,0.03471500203886535,0.04564500370179281,0.0027691332822238715,0.01731000011204742,0,57952,0.0,0
george,pcafeter_ch01_seg01,PCAFETER,-5,bypass_causal_20ms,bypass,causal_blocks,adaptive,20.0,320,48000,48000,True,0,-4.999999967495893,-4.999999967495893,0.0,-5.051744579325874,-5.051744579325874,0.0,4.02520003990503,0.00134173334663501,150,0.026834666932700202,0.07520000508520752,0.009249821595947191,0.027900001441594213,0.038275000406429165,0.06531899845867876,0.00134173334663501,0.003760000254260376,0,57952,0.0,0
george,pcafeter_ch01_seg01,PCAFETER,-5,bypass_causal_32ms,bypass,causal_blocks,adaptive,32.0,512,48000,48000,True,0,-4.999999967495893,-4.999999967495893,0.0,-5.051744579325874,-5.051744579325874,0.0,3.0962000164436176,0.0010320666721478726,94,0.03293829804727253,0.1286999977310188,0.015152411104616948,0.03255000046920031,0.054545000602956854,0.09233700504410054,0.0010342641896018672,0.004021874929094338,0,57952,0.0,0
george,pcafeter_ch01_seg01,PCAFETER,-5,stft_subtraction_causal_10ms,stft_subtraction,causal_blocks,adaptive,10.0,160,48000,48000,True,0,-4.999999967495893,-0.5351497969724318,4.464850170523461,-5.051744579325874,-4.024253097016999,1.027491482308875,342.50159998919116,0.11416719999639706,300,1.1416719999639706,2.8039000026183203,0.40592007613178743,1.1638500000117347,1.771169999119593,2.487555997940944,0.11416719999639706,0.28039000026183203,0,60900,0.06666666666666667,25
george,pcafeter_ch01_seg01,PCAFETER,-5,stft_subtraction_causal_20ms,stft_subtraction,causal_blocks,adaptive,20.0,320,48000,48000,True,0,-4.999999967495893,-0.8710925521535212,4.128907415342372,-5.051744579325874,-4.062736008618765,0.9890085707071083,227.92269993078662,0.07597423331026221,150,1.5194846662052441,3.374199994141236,0.4776000600053619,1.4602000010199845,2.1560199995292346,2.7542359966173513,0.07597423331026221,0.1687099997070618,0,60900,0.05333333333333334,13
george,pcafeter_ch01_seg01,PCAFETER,-5,stft_subtraction_causal_32ms,stft_subtraction,causal_blocks,adaptive,32.0,512,48000,48000,True,0,-4.999999967495893,-0.963802733166957,4.036197234328936,-5.051744579325874,-3.9702786646808867,1.081465914644987,197.86630000453442,0.06595543333484481,94,2.104960638346111,3.4009000009973533,0.5907721365181778,2.1456500035128556,3.015430000596097,3.2518209958652724,0.06593871897292318,0.10627812503116729,0,60900,0.06382978723404255,8
george,pcafeter_ch01_seg01,PCAFETER,-5,stft_wiener_causal_10ms,stft_wiener,causal_blocks,adaptive,10.0,160,48000,48000,True,0,-4.999999967495893,-3.3253829374002724,1.6746170300956207,-5.051744579325874,-4.540458451705122,0.5112861276207514,290.585699978692,0.09686189999289734,300,0.9686189999289733,1.9480000046314672,0.31406680888889754,0.9659999959694687,1.4435249970119912,1.5628220007056366,0.09686189999289734,0.19480000046314672,0,60900,0.06666666666666667,25
george,pcafeter_ch01_seg01,PCAFETER,-5,stft_wiener_causal_20ms,stft_wiener,causal_blocks,adaptive,20.0,320,48000,48000,True,0,-4.999999967495893,-3.597082538383926,1.4029174291119668,-5.051744579325874,-4.588914199946226,0.462830379379648,238.97779992694268,0.07965926664231422,150,1.5931853328462846,2.406499996141065,0.4101607507958829,1.7391999972460326,1.9581100008508656,2.1951119996811013,0.07965926664231422,0.12032499980705325,0,60900,0.05333333333333334,13
george,pcafeter_ch01_seg01,PCAFETER,-5,stft_wiener_causal_32ms,stft_wiener,causal_blocks,adaptive,32.0,512,48000,48000,True,0,-4.999999967495893,-3.671179449050859,1.328820518445034,-5.051744579325874,-4.583229418525024,0.46851516080085,211.76549996016547,0.07058849998672183,94,2.252824467661335,4.26040000456851,0.7171754849340961,2.332400003069779,3.4192499966593455,3.827113000661481,0.07061007312479868,0.13313750014276593,0,60900,0.06382978723404255,8
george,pcafeter_ch01_seg01,PCAFETER,-5,stft_subtraction_low_energy_offline,stft_subtraction,offline_file,low_energy_full_file,0.0,0,48000,48000,True,0,-4.999999967495893,0.6515077949777266,5.65150776247362,-5.051744579325874,-3.5489264481265326,1.5028181311993412,9.833900003286544,0.0032779666677621813,1,9.833900003286544,9.833900003286544,0.0,9.833900003286544,9.833900003286544,9.833900003286544,0.0032779666677621813,0.0032779666677621813,0,0,0.0,0
george,pcafeter_ch01_seg01,PCAFETER,-5,stft_wiener_low_energy_offline,stft_wiener,offline_file,low_energy_full_file,0.0,0,48000,48000,True,0,-4.999999967495893,-2.1668787668079372,2.833121200687956,-5.051744579325874,-4.033314321029222,1.018430258296652,6.110500005888753,0.002036833335296251,1,6.110500005888753,6.110500005888753,0.0,6.110500005888753,6.110500005888753,6.110500005888753,0.002036833335296251,0.002036833335296251,0,0,0.0,0
george,pcafeter_ch01_seg01,PCAFETER,5,bypass_causal_10ms,bypass,causal_blocks,adaptive,10.0,160,48000,48000,True,0,4.999999704830248,4.999999704830248,0.0,4.983727444700968,4.983727444700968,0.0,6.7234000453026965,0.002241133348434232,300,0.022411333484342322,0.06779999966965988,0.005824071178454384,0.02010000025620684,0.034710002364590764,0.036633002164307954,0.002241133348434232,0.006779999966965988,0,57952,0.0,0
george,pcafeter_ch01_seg01,PCAFETER,5,bypass_causal_20ms,bypass,causal_blocks,adaptive,20.0,320,48000,48000,True,0,4.999999704830248,4.999999704830248,0.0,4.983727444700968,4.983727444700968,0.0,7.217299971671309,0.00240576665722377,150,0.04811533314447539,0.3530000030878,0.027523279579037625,0.04360000093583949,0.05837500393681693,0.1013459992100246,0.00240576665722377,0.01765000015439,0,57952,0.0,0
george,pcafeter_ch01_seg01,PCAFETER,5,bypass_causal_32ms,bypass,causal_blocks,adaptive,32.0,512,48000,48000,True,0,4.999999704830248,4.999999704830248,0.0,4.983727444700968,4.983727444700968,0.0,2.630999981192872,0.0008769999937309573,94,0.027989361502051828,0.08459999662591144,0.008607560403989935,0.02384999970672652,0.040304996582563035,0.05056200134276853,0.0008775376711373158,0.0026437498945597326,0,57952,0.0,0
george,pcafeter_ch01_seg01,PCAFETER,5,stft_subtraction_causal_10ms,stft_subtraction,causal_blocks,adaptive,10.0,160,48000,48000,True,0,4.999999704830248,7.260310240294544,2.2603105354642956,4.983727444700968,6.3928894941342165,1.4091620494332489,322.8960000851657,0.10763200002838857,300,1.0763200002838857,2.1463000011863187,0.3014407737936038,1.1354500020388514,1.4911099948221818,1.7578670023794973,0.10763200002838857,0.21463000011863187,0,60900,0.26666666666666666,25
george,pcafeter_ch01_seg01,PCAFETER,5,stft_subtraction_causal_20ms,stft_subtraction,causal_blocks,adaptive,20.0,320,48000,48000,True,0,4.999999704830248,7.409299662730749,2.409299957900501,4.983727444700968,6.543677128877643,1.5599496841766758,255.70779998088256,0.08523593332696085,150,1.704718666539217,3.1684999994467944,0.47281949848797417,1.8739999977697153,2.3304100028326498,2.7617949974228377,0.08523593332696085,0.15842499997233972,0,60900,0.2733333333333333,13
george,pcafeter_ch01_seg01,PCAFETER,5,stft_subtraction_causal_32ms,stft_subtraction,causal_blocks,adaptive,32.0,512,48000,48000,True,0,4.999999704830248,7.461455169648376,2.461455464818128,4.983727444700968,6.602875642253699,1.6191481975527315,212.0947999865166,0.0706982666621722,94,2.2563276594310278,4.1409999976167455,0.6975542800079334,2.4723499991523568,3.216230000180076,3.566352999987426,0.07064443705172728,0.1294062499255233,0,60900,0.2872340425531915,8
george,pcafeter_ch01_seg01,PCAFETER,5,stft_wiener_causal_10ms,stft_wiener,causal_blocks,adaptive,10.0,160,48000,48000,True,0,4.999999704830248,6.412606169469007,1.4126064646387588,4.983727444700968,5.947488476531491,0.963761031830523,348.5806000098819,0.1161935333366273,300,1.161935333366273,9.122900002694223,0.6693865520941024,1.1819999999715947,1.7510050016426248,3.4098839952639537,0.1161935333366273,0.9122900002694223,0,60900,0.26666666666666666,25
george,pcafeter_ch01_seg01,PCAFETER,5,stft_wiener_causal_20ms,stft_wiener,causal_blocks,adaptive,20.0,320,48000,48000,True,0,4.999999704830248,6.247332879538074,1.2473331747078253,4.983727444700968,5.865308569216438,0.8815811245154705,229.53619997861097,0.07651206665953698,150,1.5302413331907398,3.0820999963907525,0.4061248178859143,1.6038499998103362,2.0653549978305814,2.61424699812778,0.07651206665953698,0.15410499981953762,0,60900,0.2733333333333333,13
george,pcafeter_ch01_seg01,PCAFETER,5,stft_wiener_causal_32ms,stft_wiener,causal_blocks,adaptive,32.0,512,48000,48000,True,0,4.999999704830248,6.212140598838868,1.2121408940086198,4.983727444700968,5.870532798802063,0.886805354101095,202.1351999937906,0.0673783999979302,94,2.150374468019049,3.9352000021608546,0.6243767120103224,2.1601500011456665,3.1986949987185653,3.4960539942403526,0.06739646498014433,0.12297500006752671,0,60900,0.2872340425531915,8
george,pcafeter_ch01_seg01,PCAFETER,5,stft_subtraction_low_energy_offline,stft_subtraction,offline_file,low_energy_full_file,0.0,0,48000,48000,True,0,4.999999704830248,7.9633500252910565,2.9633503204608083,4.983727444700968,7.770780689585125,2.7870532448841576,12.255200002982747,0.004085066667660915,1,12.255200002982747,12.255200002982747,0.0,12.255200002982747,12.255200002982747,12.255200002982747,0.004085066667660915,0.004085066667660915,0,0,0.0,0
george,pcafeter_ch01_seg01,PCAFETER,5,stft_wiener_low_energy_offline,stft_wiener,offline_file,low_energy_full_file,0.0,0,48000,48000,True,0,4.999999704830248,7.873845466016354,2.8738457611861055,4.983727444700968,7.31729697111027,2.3335695264093026,7.557299999461975,0.0025190999998206585,1,7.557299999461975,7.557299999461975,0.0,7.557299999461975,7.557299999461975,7.557299999461975,0.0025190999998206585,0.0025190999998206585,0,0,0.0,0
