metodo,snr_alvo_db,snr_saida_medio_db,melhoria_snr_media_db,mse_medio,si_sdr_medio_db,tempo_medio_s,rtf_medio,memoria_media_kb
noisy,-5,-5.000000014878422,0.0,0.07307522983806371,-4.99309432769948,9.33666682006636e-06,3.1122222733554534e-06,187.5
stft_subtraction,-5,2.6874613175352238,7.687461332413645,0.01562848443343929,1.2491897815635806,0.008123439999205099,0.0027078133330683666,1788.9609375
stft_wiener,-5,-0.3771744032278724,4.6228256116505495,0.028330562812542762,-0.9787690319962761,0.0048907216668643136,0.001630240555621438,1788.9609375
wavelet_soft,-5,-4.721702353959446,0.2782976609189756,0.0687533756817377,-6.689957183427171,0.0013146150008348438,0.00043820500027828125,375.25
noisy,0,-4.2886851705587075e-08,0.0,0.023108416815659824,-0.0004359271905220429,9.575000512995758e-06,3.1916668376652522e-06,187.5
stft_subtraction,0,7.308118418212278,7.308118461099129,0.005415212102342322,6.612843206965912,0.008684450000024905,0.0028948166666749684,1788.9609375
stft_wiener,0,4.501180822814404,4.501180865701255,0.00922440374373337,4.22125723714871,0.005010136666533072,0.001670045555511024,1788.9609375
wavelet_soft,0,0.14449075039395118,0.1444907932808029,0.02244675772293607,-1.0556445756131259,0.0012504533334625498,0.00041681777782084993,375.25
noisy,5,4.999999966235267,0.0,0.007307523016515989,4.995313586304414,9.156665813255434e-06,3.0522219377518112e-06,187.5
stft_subtraction,5,11.819294172635107,6.819294206399842,0.001925344572467112,11.614677180329961,0.00794816666614982,0.002649388888716607,1788.9609375
stft_wiener,5,9.326234915914354,4.326234949679089,0.0030380797255314257,9.220049713334777,0.004791495000487581,0.0015971650001625271,1788.9609375
wavelet_soft,5,4.945016425764915,-0.054983540470352,0.007456432797417862,4.246133724125717,0.0012172000001252552,0.000405733333375085,375.25
noisy,10,9.999999989125703,0.0,0.0023108416637250087,9.992884516746804,1.1856667333631776e-05,3.952222444543925e-06,187.5
stft_subtraction,10,16.205812907333815,6.205812918208112,0.0007060648868693575,16.331032212714476,0.008199268333313133,0.0027330894444377108,1788.9609375
stft_wiener,10,14.067797095890468,4.067797106764766,0.0010192610550643381,14.066617083285774,0.004835995000272912,0.001611998333424304,1788.9609375
wavelet_soft,10,9.623280166791746,-0.37671982233395795,0.0025588831973620265,9.246678384880205,0.001227568333342788,0.00040918944444759593,375.25
