grupo_ruido,metodo,snr_alvo_db,n_condicoes,snr_saida_medio_db,melhoria_snr_media_db,melhoria_snr_desvio_db,si_sdr_medio_db,rtf_medio
DKITCHEN,noisy,-5,15,-4.9999999694602115,0.0,0.0,-5.011731163728711,3.3644446779766846e-06
DKITCHEN,stft_subtraction,-5,15,5.625343668573532,10.625343638033744,2.693961891160017,5.088356057431586,0.002826028888779951
DKITCHEN,stft_wiener,-5,15,1.2080568298327559,6.208056799292968,2.1735848117128485,1.0421436185618351,0.0015958933326247562
DKITCHEN,wavelet_soft,-5,15,-4.934936245632043,0.06506372382816915,0.06483948592811492,-9.840702109673805,0.00044270222246672755
DKITCHEN,noisy,0,15,-5.6537302113118506e-08,0.0,0.0,-0.011202263989959329,3.244444572677215e-06
DKITCHEN,stft_subtraction,0,15,10.322517115550804,10.322517172088107,2.55826444045479,10.098105321656867,0.0035694311111001296
DKITCHEN,stft_wiener,0,15,6.133956323038465,6.133956379575767,2.141416770356119,6.0615063924903465,0.0019678755559855037
DKITCHEN,wavelet_soft,0,15,-0.2617590225266587,-0.26175896598935666,0.12165727522332759,-3.0337358181358764,0.00042532222254926136
DKITCHEN,noisy,5,15,4.999999879835315,0.0,0.0,4.989093470698644,3.2199997804127635e-06
DKITCHEN,stft_subtraction,5,15,14.860920011286483,9.860920131451167,2.4387232071854665,14.885573361224663,0.002783757777393071
DKITCHEN,stft_wiener,5,15,10.996171910909583,5.996172031074266,2.0960622114610237,10.98846119063584,0.0016815977782243864
DKITCHEN,wavelet_soft,5,15,4.283329160008562,-0.7166707198267527,0.21206480467127953,2.837661997374721,0.0004363244444700993
DKITCHEN,noisy,10,15,9.999999960597174,0.0,0.0,9.989259361437556,4.282222976649387e-06
DKITCHEN,stft_subtraction,10,15,19.1965760770552,9.196576116458028,2.541993882849637,19.438956080932094,0.003049562221955663
DKITCHEN,stft_wiener,10,15,15.742797951566594,5.74279799096942,2.0869748528070358,15.79771919857117,0.0017299177778315627
DKITCHEN,wavelet_soft,10,15,8.634655354579666,-1.3653446060175094,0.34699379301859684,7.98908766316059,0.00043571333339463715
OOFFICE,noisy,-5,15,-4.999999967701394,0.0,0.0,-5.0037315091792065,3.017777958626135e-06
OOFFICE,stft_subtraction,-5,15,3.8067249622368617,8.806724929938257,4.029813838980448,3.3682675315526285,0.0026176755552619903
OOFFICE,stft_wiener,-5,15,0.5942982552409575,5.594298222942352,2.925377461571278,0.49349452482510264,0.0015592111114528962
OOFFICE,wavelet_soft,-5,15,-5.010771084844836,-0.010771117143441582,0.0059001267565071385,-5.519961885543588,0.00039584222282024303
OOFFICE,noisy,0,15,-1.0500252506464225e-07,0.0,0.0,-0.006573653394005928,3.0288893160306746e-06
OOFFICE,stft_subtraction,0,15,8.647602180617946,8.647602285620472,3.921987973410216,8.45040944481524,0.0026356866665688964
OOFFICE,stft_wiener,0,15,5.54589892572238,5.545899030724905,2.8951838544321107,5.503416104433243,0.0015474533324272165
OOFFICE,wavelet_soft,0,15,-0.030472974021462654,-0.030472869018937587,0.015120299351060342,-0.394495319865367,0.0004022933330917214
OOFFICE,noisy,5,15,4.999999952444273,0.0,0.0,4.991825870902283,2.9933333280496298e-06
OOFFICE,stft_subtraction,5,15,13.382244482671911,8.382244530227638,3.790013940700917,13.383242498080545,0.0025842977778261734
OOFFICE,stft_wiener,5,15,10.44606802849266,5.446068076048388,2.8462868123773317,10.4513822877321,0.0015396666666169445
OOFFICE,wavelet_soft,5,15,4.922739458635745,-0.07726049380852681,0.04699468009184661,4.649538319267031,0.00040067111096707067
OOFFICE,noisy,10,15,9.999999984385896,0.0,0.0,9.990925112376054,3.026666591823515e-06
OOFFICE,stft_subtraction,10,15,17.94281460074722,7.942814616361322,3.746070431854696,18.13914445252531,0.0026428511112398054
OOFFICE,stft_wiener,10,15,15.226484351335234,5.226484366949338,2.8104869220173145,15.292676734663246,0.0015289955557414537
OOFFICE,wavelet_soft,10,15,9.798863220125094,-0.20113676426080276,0.15201919867794603,9.589921754026019,0.0003929311115320565
PCAFETER,noisy,-5,15,-4.999999980817261,0.0,0.0,-4.9854593602518475,2.9444443902725146e-06
PCAFETER,stft_subtraction,-5,15,0.21290437136320517,5.212904352180465,0.7317318444464722,-3.260159232357883,0.002663017777376808
PCAFETER,stft_wiener,-5,15,-1.872176829794402,3.127823151022859,0.6166156053720416,-3.6149059644407004,0.001696595555889265
PCAFETER,wavelet_soft,-5,15,-4.358717160586247,0.6412828202310146,0.1941139182775269,-5.55810971020191,0.0004965600001418756
PCAFETER,noisy,0,15,-6.506569417216504e-08,0.0,0.0,0.004350583369559546,3.366666917120003e-06
PCAFETER,stft_subtraction,0,15,4.4972455625417025,4.497245627607397,0.6460118768750958,2.8277505485339947,0.0027222266669721445
PCAFETER,stft_wiener,0,15,2.880912826057736,2.8809128911234296,0.5890165722769618,2.0671321887866916,0.0015342088888347565
PCAFETER,wavelet_soft,0,15,0.5481970847831434,0.5481971498488376,0.1816883570650945,-0.28242654915085846,0.00044035555555536925
PCAFETER,noisy,5,15,5.000000017670718,0.0,0.0,4.998283305563347,3.0755552062247362e-06
PCAFETER,stft_subtraction,5,15,8.73033378200177,3.7303337643310526,0.5985264576300487,8.162804414416899,0.0025956022218451835
PCAFETER,stft_wiener,5,15,7.60113617234063,2.6011361546699114,0.5620571229039789,7.252968239934233,0.0015187644443358296
PCAFETER,wavelet_soft,5,15,5.404007122650163,0.40400710497944503,0.1718443154880731,4.860039575231568,0.0003939066667549519
PCAFETER,noisy,10,15,10.000000026129864,0.0,0.0,9.994764275836081,3.5022225347347557e-06
PCAFETER,stft_subtraction,10,15,12.979962039660343,2.9799620135304803,0.6187350800582991,13.030432002249746,0.0026048555556270813
PCAFETER,stft_wiener,10,15,12.309546782817035,2.309546756687173,0.5640459999791213,12.174863346249358,0.0015415799999674265
PCAFETER,wavelet_soft,10,15,10.154499245328363,0.15449921919849932,0.1848512897095058,9.82349185048435,0.00039427555538067177
STRAFFIC,noisy,-5,15,-5.0000001415348185,0.0,0.0,-4.971455277638155,3.12222206654648e-06
STRAFFIC,stft_subtraction,-5,15,1.1048722679672962,6.104872409502115,0.7345997269003436,-0.19970523037200866,0.0027245311108547157
STRAFFIC,stft_wiener,-5,15,-1.438875868190801,3.561124273344018,0.7468755679044348,-1.8358083069313416,0.001669262222518834
STRAFFIC,wavelet_soft,-5,15,-4.582384924774659,0.4176152167601602,0.3720239651544463,-5.8410550282893805,0.00041771555568427885
STRAFFIC,noisy,0,15,5.505811452757751e-08,0.0,0.0,0.011681625252317536,3.1266665448331173e-06
STRAFFIC,stft_subtraction,0,15,5.765108814138657,5.765108759080543,0.5513210011069657,5.0751075128575485,0.0026519222220587027
STRAFFIC,stft_wiener,0,15,3.443955216439034,3.4439551613809196,0.6765076113092793,3.2529742628845586,0.0016306444447966191
STRAFFIC,wavelet_soft,0,15,0.3219979133407827,0.3219978582826682,0.31273605542856664,-0.5119206153004016,0.0003993000000870476
STRAFFIC,noisy,5,15,5.000000014990761,0.0,0.0,5.002051698053384,2.9199994363201163e-06
STRAFFIC,stft_subtraction,5,15,10.30367841458027,5.3036783995895105,0.4588832408712938,10.027088447597738,0.0026338977778020004
STRAFFIC,stft_wiener,5,15,8.261563551914547,3.2615635369237874,0.5875985602609275,8.187387135036934,0.0016486311114729487
STRAFFIC,wavelet_soft,5,15,5.169989961765187,0.16998994677442644,0.2372737560938969,4.637295004629548,0.00039203111130821827
STRAFFIC,noisy,10,15,9.999999985389879,0.0,0.0,9.99658931733752,4.997777674968044e-06
STRAFFIC,stft_subtraction,10,15,14.703898911872496,4.703898926482617,0.6978627234510009,14.715596315150748,0.002635088888928294
STRAFFIC,stft_wiener,10,15,12.992359297843011,2.992359312453132,0.5525282773046005,13.001209053659327,0.0016475000001567727
STRAFFIC,wavelet_soft,10,15,9.90510284713386,-0.09489713825601893,0.20462836907070217,9.584212271849859,0.0004138377774830183
