amostra,ruido,grupo_ruido,snr_alvo_db,snr_entrada_observado_db,metodo,snr_saida_db,melhoria_snr_db,mse,si_sdr_db,tempo_processamento_s,duracao_audio_s,rtf,latencia_algoritmica_ms,memoria_aproximada_kb
speech_george,dkitchen_ch01_seg01,DKITCHEN,-5,-4.99999984692347,noisy,-4.99999984692347,0.0,0.08415701747972516,-5.005676838849839,1.1000003723893315e-05,3.0,3.666667907964438e-06,0.0,187.5
speech_george,dkitchen_ch01_seg01,DKITCHEN,-5,-4.99999984692347,stft_subtraction,1.9630655113944548,6.963065358317925,0.016934945366550238,1.3418458498158967,0.007791799995175097,3.0,0.0025972666650583656,32.0,1788.9609375
speech_george,dkitchen_ch01_seg01,DKITCHEN,-5,-4.99999984692347,stft_wiener,-1.7587223523663305,3.2412774945571394,0.03989905287149918,-1.9161538776708256,0.004667200002586469,3.0,0.0015557333341954898,32.0,1788.9609375
speech_george,dkitchen_ch01_seg01,DKITCHEN,-5,-4.99999984692347,wavelet_soft,-5.016836148501806,-0.016836301578336155,0.08448390236936867,-11.141732705329206,0.00150680000660941,3.0,0.0005022666688698033,32.0,375.25
speech_george,dkitchen_ch01_seg01,DKITCHEN,0,6.410482552735847e-10,noisy,6.410482552735847e-10,0.0,0.026612786574263844,-0.003189857913449257,8.899995009414852e-06,3.0,2.9666650031382837e-06,0.0,187.5
speech_george,dkitchen_ch01_seg01,DKITCHEN,0,6.410482552735847e-10,stft_subtraction,6.888254596835109,6.888254596194061,0.00544834865351291,6.540657301186517,0.008329500000400003,3.0,0.002776500000133334,32.0,1788.9609375
speech_george,dkitchen_ch01_seg01,DKITCHEN,0,6.410482552735847e-10,stft_wiener,3.223041723800995,3.223041723159947,0.012670279016317605,3.1514600544026217,0.004318899998907,3.0,0.0014396333329689999,32.0,1788.9609375
speech_george,dkitchen_ch01_seg01,DKITCHEN,0,6.410482552735847e-10,wavelet_soft,-0.4512962709755775,-0.4512962716166258,0.029527044436988812,-3.886480954945641,0.001212100003613159,3.0,0.00040403333453771967,32.0,375.25
speech_george,dkitchen_ch01_seg01,DKITCHEN,5,4.999999825591014,noisy,4.999999825591014,0.0,0.008415702382206944,4.9982082767278335,1.1500000255182385e-05,3.0,3.833333418394129e-06,0.0,187.5
speech_george,dkitchen_ch01_seg01,DKITCHEN,5,4.999999825591014,stft_subtraction,11.797570730495892,6.797570904904878,0.0017592731637122805,11.615315710828241,0.00832339999760734,3.0,0.002774466665869113,32.0,1788.9609375
speech_george,dkitchen_ch01_seg01,DKITCHEN,5,4.999999825591014,stft_wiener,8.201880232237942,3.2018804066469277,0.004026264741538742,8.170957150030738,0.00502000000415137,3.0,0.0016733333347171235,32.0,1788.9609375
speech_george,dkitchen_ch01_seg01,DKITCHEN,5,4.999999825591014,wavelet_soft,3.9457505656772756,-1.0542492599137385,0.010727914272445549,2.1994315319062623,0.001203799998620525,3.0,0.00040126666620684165,32.0,375.25
speech_george,dkitchen_ch01_seg01,DKITCHEN,10,9.999999717808457,noisy,9.999999717808457,0.0,0.00266127882899896,9.99899439583418,1.1100004485342652e-05,3.0,3.700001495114217e-06,0.0,187.5
speech_george,dkitchen_ch01_seg01,DKITCHEN,10,9.999999717808457,stft_subtraction,16.697277201485335,6.697277483676878,0.0005693281141247186,16.612465052935782,0.008457800002361182,3.0,0.0028192666674537272,32.0,1788.9609375
speech_george,dkitchen_ch01_seg01,DKITCHEN,10,9.999999717808457,stft_wiener,13.17974167648124,3.1797419586727838,0.001279723611742575,13.166991575984415,0.004688400003942661,3.0,0.0015628000013142203,32.0,1788.9609375
