frame_id,proc_us,push_wait_us,ring_after_samples
0,778.100000,7.500000,480
1,428.000000,5.500000,960
2,297.600000,5.800000,1440
3,287.500000,5.100000,1920
4,347.800000,10.000000,2400
5,328.600000,4.200000,2880
6,281.900000,3.300000,3360
7,271.000000,3.900000,3840
8,271.100000,6.700000,4320
9,267.600000,4.100000,4800
10,277.300000,3.300000,5280
11,273.300000,3.600000,5760
12,279.000000,3.300000,6240
13,263.800000,3.800000,6720
14,261.700000,3.600000,7200
15,266.800000,3.100000,7680
16,264.800000,3.300000,6240
17,265.300000,1.400000,6720
18,271.700000,1.100000,7200
19,280.100000,1.100000,7680
20,286.700000,1.000000,8160
21,266.300000,12.900000,8640
22,267.000000,4.100000,9120
23,269.800000,3.200000,9600
24,278.800000,4.000000,10080
25,268.800000,3.400000,10560
26,269.200000,4.000000,11040
27,264.800000,3.300000,11520
28,277.400000,3.900000,12000
29,279.300000,3.200000,12480
30,278.400000,3.900000,12960
31,286.000000,3.500000,13440
32,285.100000,4.000000,13920
33,279.600000,3.300000,14400
34,283.700000,3.800000,14880
35,280.200000,3.300000,15360
36,282.400000,14257.500000,14880
37,520.400000,5.000000,15360
38,361.700000,19073.600000,14880
39,609.000000,1.800000,15360
40,414.600000,18989.000000,14880
41,533.200000,1.500000,15360
42,362.200000,19319.000000,14880
43,618.000000,1.700000,15360
44,431.000000,18983.500000,14880
45,644.800000,2.000000,15360
46,543.300000,18756.200000,14880
47,517.600000,1.700000,15360
48,364.200000,19122.600000,14880
49,564.400000,1.300000,15360
50,378.700000,19096.000000,14880
51,667.600000,2.100000,15360
52,450.000000,18951.400000,14880
53,633.600000,1.900000,15360
54,426.600000,18921.000000,14880
55,660.300000,2.400000,15360
56,591.200000,18793.800000,14880
57,511.100000,1.500000,15360
58,353.200000,19121.900000,14880
59,489.300000,1.300000,15360
60,340.000000,19185.400000,14880
61,612.300000,1.500000,15360
62,442.700000,19008.500000,14880
63,568.700000,1.300000,15360
64,346.100000,19123.000000,14880
65,786.400000,1.800000,15360
66,565.100000,18662.000000,14880
67,505.500000,1.100000,15360
68,333.100000,19193.400000,14880
69,593.900000,1.600000,15360
70,424.300000,19000.300000,14880
71,561.100000,1.400000,15360
72,393.400000,19108.700000,14880
73,574.600000,1.800000,15360
74,358.700000,19069.100000,14880
75,822.300000,2.700000,15360
76,566.200000,18672.400000,14880
77,535.700000,1.500000,15360
78,353.100000,19148.200000,14880
79,597.200000,1.300000,15360
80,399.300000,19071.400000,14880
81,543.800000,1.200000,15360
82,360.200000,19112.800000,14880
83,533.800000,1.600000,15360
84,374.700000,19208.400000,14880
85,1110.200000,4.100000,15360
86,605.800000,18278.200000,14880
87,527.900000,1.200000,15360
88,354.500000,19090.200000,14880
89,551.100000,1.400000,15360
90,383.100000,19085.300000,14880
91,616.100000,1.800000,15360
92,415.200000,18985.800000,14880
93,518.500000,1.400000,15360
94,360.000000,18144.300000,14880
95,570.400000,1.500000,15360
96,505.600000,18960.800000,14880
97,582.000000,1.700000,15360
98,436.700000,19046.200000,14880
99,537.000000,1.200000,15360
100,352.200000,19079.400000,14880
101,574.900000,1.400000,15360
102,373.700000,19109.600000,14880
103,524.900000,1.300000,15360
104,369.400000,19102.500000,14880
105,634.600000,1.900000,15360
106,562.500000,18841.400000,14880
107,551.800000,1.500000,15360
108,385.700000,19105.600000,14880
109,575.500000,1.700000,15360
110,384.300000,19021.300000,14880
111,652.900000,1.500000,15360
112,359.300000,19073.500000,14880
113,566.600000,1.300000,15360
114,348.500000,19069.100000,14880
115,788.700000,2.200000,15360
116,592.500000,18727.400000,14880
117,541.400000,1.300000,15360
118,358.600000,19039.200000,14880
119,505.000000,1.600000,15360
120,330.000000,19239.100000,14880
121,547.900000,1.100000,15360
122,340.200000,19118.300000,14880
123,598.100000,1.400000,15360
124,383.900000,19058.500000,14880
125,704.600000,2.000000,15360
126,631.400000,18765.200000,14880
127,534.900000,1.300000,15360
128,367.000000,19182.500000,14880
129,570.600000,1.300000,15360
130,384.000000,19000.400000,14880
131,642.200000,1.500000,15360
132,420.800000,19020.600000,14880
133,607.200000,1.300000,15360
134,384.900000,19055.700000,14880
135,841.200000,2.100000,15360
136,493.000000,18761.000000,14880
137,552.500000,1.300000,15360
138,350.000000,19088.600000,14880
139,566.100000,1.500000,15360
140,461.100000,18952.300000,14880
141,618.600000,1.600000,15360
142,414.300000,19025.800000,14880
143,633.100000,1.500000,15360
144,415.100000,18960.100000,14880
145,757.600000,1.500000,15360
146,424.100000,18845.600000,14880
147,584.600000,1.600000,15360
148,387.800000,18153.400000,14880
149,560.800000,1.600000,15360
150,375.100000,18981.600000,14880
151,550.700000,1.400000,15360
152,379.100000,19089.500000,14880
153,589.400000,2.000000,15360
154,399.100000,19216.000000,14880
155,576.100000,1.800000,15360
156,559.600000,18834.100000,14880
157,555.300000,1.400000,15360
158,368.300000,19121.900000,14880
159,616.600000,1.900000,15360
160,502.800000,18910.300000,14880
161,542.600000,1.400000,15360
162,382.200000,19202.900000,14880
163,563.700000,1.200000,15360
164,383.800000,18957.100000,14880
165,807.200000,2.400000,15360
166,584.100000,18621.900000,14880
167,601.400000,1.700000,15360
168,376.800000,19054.900000,14880
169,566.200000,1.400000,15360
170,375.400000,19076.400000,14880
171,634.300000,1.700000,15360
172,500.700000,18996.600000,14880
173,644.600000,1.900000,15360
174,446.800000,18822.200000,14880
175,813.800000,2.500000,15360
176,589.800000,18687.000000,14880
177,552.600000,1.500000,15360
178,375.200000,19099.000000,14880
179,571.300000,1.400000,15360
180,377.800000,19103.400000,14880
181,582.800000,1.300000,15360
182,348.900000,19015.000000,14880
183,560.300000,1.500000,15360
184,382.300000,19080.700000,14880
185,852.700000,1.900000,15360
186,658.600000,18544.800000,14880
187,587.100000,1.600000,15360
188,389.900000,19074.600000,14880
189,587.100000,1.500000,15360
190,399.000000,18992.700000,14880
191,536.200000,1.600000,15360
192,357.400000,19163.000000,14880
193,535.700000,1.900000,15360
194,374.400000,19090.400000,14880
195,1126.000000,2.600000,15360
196,639.000000,18290.500000,14880
197,579.400000,1.400000,15360
198,368.000000,19064.000000,14880
199,550.800000,1.500000,15360
200,378.800000,19148.100000,14880
201,527.500000,1.300000,15360
202,362.100000,19121.700000,14880
203,560.600000,1.500000,15360
204,359.900000,19113.100000,14880
205,1091.800000,1.800000,15360
206,444.300000,17521.700000,14880
207,565.000000,2.100000,15360
208,473.100000,19054.700000,14880
209,780.100000,2.000000,15360
210,505.600000,18625.600000,14880
211,608.800000,1.400000,15360
212,398.000000,19048.500000,14880
213,537.300000,1.600000,15360
214,380.700000,19058.000000,14880
215,673.300000,1.700000,15360
216,631.700000,18723.300000,14880
217,584.500000,1.600000,15360
218,400.000000,19045.200000,14880
219,645.500000,2.200000,15360
220,575.400000,18819.600000,14880
221,636.900000,1.800000,15360
222,442.300000,18937.700000,14880
223,593.200000,1.700000,15360
224,414.500000,19028.200000,14880
225,698.400000,2.400000,15360
226,687.000000,18668.100000,14880
227,568.700000,1.800000,15360
228,395.200000,19053.500000,14880
229,550.000000,1.800000,15360
230,406.400000,19021.400000,14880
231,641.200000,1.600000,15360
232,427.700000,18948.300000,14880
233,528.600000,1.300000,15360
234,374.300000,19111.200000,14880
235,772.600000,2.300000,15360
236,667.100000,18573.700000,14880
237,551.900000,1.500000,15360
238,375.200000,19111.500000,14880
239,558.600000,1.600000,15360
240,376.900000,19061.200000,14880
241,569.700000,1.400000,15360
242,485.100000,19002.000000,14880
243,542.300000,1.700000,15360
244,377.800000,19067.800000,14880
245,1034.100000,3.400000,15360
246,793.800000,18196.800000,14880
247,628.600000,1.600000,15360
248,415.500000,18969.500000,14880
249,546.400000,1.500000,15360
250,441.400000,19134.100000,14880
251,658.600000,2.200000,15360
252,616.200000,18745.500000,14880
253,573.100000,1.500000,15360
254,415.800000,19046.000000,14880
255,833.100000,2.400000,15360
256,626.600000,18593.900000,14880
257,550.300000,1.300000,15360
258,372.100000,19042.200000,14880
259,661.500000,1.800000,15360
260,506.500000,18848.600000,14880
261,665.300000,2.100000,15360
262,462.400000,18936.000000,14880
263,599.100000,1.900000,15360
264,406.000000,19003.900000,14880
265,758.600000,1.400000,15360
266,591.100000,18636.100000,14880
267,666.100000,1.900000,15360
268,462.900000,18986.100000,14880
269,608.200000,1.300000,15360
270,403.700000,18956.400000,14880
271,575.600000,1.600000,15360
272,391.100000,18998.700000,14880
273,671.000000,1.900000,15360
274,474.900000,18014.000000,14880
275,655.900000,1.700000,15360
276,557.200000,18843.500000,14880
277,550.100000,1.600000,15360
278,377.500000,19108.900000,14880
279,557.600000,1.400000,15360
280,371.800000,19136.700000,14880
281,563.300000,1.400000,15360
282,377.400000,19097.700000,14880
283,541.000000,1.200000,15360
284,364.800000,19118.600000,14880
285,2080.900000,1.800000,15360
286,1288.000000,16707.800000,14880
287,1570.400000,1.600000,15360
288,1252.800000,17123.300000,14880
289,1378.100000,1.400000,15360
290,1176.200000,17501.600000,14880
291,1502.400000,2.300000,15360
292,1408.900000,17108.100000,14880
293,1385.800000,1.700000,15360
294,1157.800000,17446.200000,14880
295,2192.700000,1.900000,15360
296,1204.000000,16722.300000,14880
297,1381.600000,1.600000,15360
298,1165.500000,17520.700000,14880
299,1794.900000,2.100000,15360
300,1502.900000,16675.600000,14880
301,1639.100000,1.700000,15360
302,1508.800000,16996.400000,14880
303,2462.400000,2.100000,15360
304,1410.900000,16168.800000,14880
305,1929.800000,1.800000,15360
306,1344.600000,16860.200000,14880
307,2656.700000,2.200000,15360
308,1517.700000,15828.900000,14880
309,2645.100000,2.500000,15360
310,1921.200000,15430.200000,14880
311,1477.200000,1.700000,15360
312,1228.900000,17378.100000,14880
313,2769.900000,2.800000,15360
314,2681.500000,13654.200000,14880
315,3130.800000,2.300000,15360
316,1408.100000,15463.300000,14880
317,2888.600000,3.300000,15360
318,1986.300000,15139.400000,14880
319,1379.600000,1.400000,15360
320,1210.900000,17464.600000,14880
321,573.900000,1.400000,15360
322,386.000000,19143.400000,14880
323,753.800000,1.900000,15360
324,353.600000,18893.000000,14880
325,697.000000,1.700000,15360
326,604.000000,18703.800000,14880
327,834.900000,2.300000,15360
328,415.600000,18828.400000,14880
329,546.900000,1.300000,15360
330,385.700000,19053.300000,14880
331,1043.800000,3.500000,15360
332,761.600000,18252.700000,14880
333,688.800000,1.400000,15360
334,347.900000,19026.100000,14880
335,762.600000,2.000000,15360
336,598.000000,18762.100000,14880
337,579.600000,1.500000,15360
338,362.700000,19285.100000,14880
339,685.500000,1.800000,15360
340,449.600000,18889.800000,14880
341,955.800000,2.300000,15360
342,459.100000,18647.100000,14880
343,872.600000,2.600000,15360
344,495.900000,18304.700000,14880
345,780.200000,2.900000,15360
346,568.900000,18662.300000,14880
347,916.700000,2.100000,15360
348,368.100000,18748.400000,14880
349,1049.200000,2.400000,15360
350,734.800000,18241.400000,14880
351,717.700000,2.300000,15360
352,560.400000,18835.400000,14880
353,795.100000,2.200000,15360
354,429.100000,18827.400000,14880
355,1132.400000,2.000000,15360
356,520.200000,17450.800000,14880
357,758.400000,1.600000,15360
358,383.700000,18928.100000,14880
359,548.200000,1.700000,15360
360,376.200000,19105.700000,14880
361,577.900000,1.500000,15360
362,421.200000,19068.200000,14880
363,869.100000,2.400000,15360
364,437.000000,18706.600000,14880
365,787.400000,2.200000,15360
366,652.800000,18581.600000,14880
367,1042.500000,2.400000,15360
368,435.300000,18583.700000,14880
369,765.100000,2.200000,15360
370,447.600000,18765.000000,14880
371,589.000000,1.500000,15360
372,423.600000,19017.800000,14880
373,829.100000,2.200000,15360
374,407.900000,18807.500000,14880
375,577.000000,1.600000,15360
376,527.300000,18909.800000,14880
377,893.100000,2.300000,15360
378,374.600000,18920.200000,14880
379,545.400000,1.200000,15360
