split,speaker,noise,noise_group,snr_target_db,candidate_id,family,execution_mode,input_snr_db,output_snr_db,snr_improvement_db,input_si_sdr_db,output_si_sdr_db,si_sdr_improvement_db,block_count,block_mean_ms,block_p95_ms,block_p99_ms,block_worst_ms,processing_ms,rtf,state_memory_bytes,speech_block_fraction,warming_blocks
validation,jackson,dkitchen_ch01_seg01,DKITCHEN,0,subtraction_low_energy_offline,stft_subtraction,offline_file,-1.358638013928369e-07,4.924818696834463,4.924818832698264,-0.019142349265651327,3.3371049191460878,3.3562472684117393,1,11.322499999550928,11.322499999550928,11.322499999550928,11.322499999550928,11.322499999550928,0.003774166666516976,0,0.0,0
validation,jackson,dkitchen_ch01_seg01,DKITCHEN,0,subtraction_calibration_causal,stft_subtraction,causal_blocks,-1.358638013928369e-07,3.6605424127675508,3.6605425486313523,-0.019142349265651327,1.2981164002781767,1.317258749543828,150,0.6703186666345573,1.0832249999566557,1.5042350000476246,2.2187999993548146,100.5477999951836,0.033515933331727865,60900,0.0,13
validation,jackson,dkitchen_ch01_seg01,DKITCHEN,0,subtraction_adaptive_causal,stft_subtraction,causal_blocks,-1.358638013928369e-07,4.976882602877048,4.976882738740849,-0.019142349265651327,3.839026914991125,3.8581692642567766,150,1.6495153333138053,2.135450000014316,2.65508299979046,8.770299999923736,247.4272999970708,0.08247576666569027,60900,0.35333333333333333,13
validation,jackson,dkitchen_ch01_seg01,DKITCHEN,0,wiener_initial_legacy,stft_wiener,offline_file,-1.358638013928369e-07,2.262555473538201,2.2625556094020025,-0.019142349265651327,0.3254907269340502,0.3446330761997015,1,5.78259999929287,5.78259999929287,5.78259999929287,5.78259999929287,5.78259999929287,0.0019275333330976234,0,0.0,0
validation,jackson,dkitchen_ch01_seg01,DKITCHEN,0,wiener_low_energy_offline,stft_wiener,offline_file,-1.358638013928369e-07,2.0017720204331755,2.001772156296977,-0.019142349265651327,1.076513976615857,1.0956563258815082,1,5.7863000001816545,5.7863000001816545,5.7863000001816545,5.7863000001816545,5.7863000001816545,0.001928766666727218,0,0.0,0
validation,jackson,dkitchen_ch01_seg01,DKITCHEN,0,wiener_adaptive_causal,stft_wiener,causal_blocks,-1.358638013928369e-07,1.6867236737440718,1.6867238096078732,-0.019142349265651327,1.4088224486323537,1.427964797898005,150,1.6380120000151994,2.601880000202071,3.878595000578568,11.209100000087346,245.70180000227992,0.08190060000075998,60900,0.35333333333333333,13
validation,jackson,dkitchen_ch01_seg01,DKITCHEN,5,bypass,baseline,causal_blocks,4.999999650816238,4.999999650816238,0.0,4.989251383679722,4.989251383679722,0.0,150,0.027904000047177153,0.035165000372216995,0.048031999867816894,0.09030000001075678,4.185600007076573,0.0013952000023588578,57952,0.0,0
validation,jackson,dkitchen_ch01_seg01,DKITCHEN,5,subtraction_initial_legacy,stft_subtraction,offline_file,4.999999650816238,5.78009315404651,0.7800935032302716,4.989251383679722,4.934271426412972,-0.05497995726674976,1,8.995300000606221,8.995300000606221,8.995300000606221,8.995300000606221,8.995300000606221,0.002998433333535407,0,0.0,0
validation,jackson,dkitchen_ch01_seg01,DKITCHEN,5,subtraction_low_energy_offline,stft_subtraction,offline_file,4.999999650816238,8.969283793181921,3.969284142365683,4.989251383679722,8.747977851157886,3.758726467478164,1,9.13219999983994,9.13219999983994,9.13219999983994,9.13219999983994,9.13219999983994,0.0030440666666133134,0,0.0,0
validation,jackson,dkitchen_ch01_seg01,DKITCHEN,5,subtraction_calibration_causal,stft_subtraction,causal_blocks,4.999999650816238,4.502287892456365,-0.49771175835987336,4.989251383679722,3.2672095528711775,-1.7220418308085446,150,0.7889920000343409,1.2787250000656054,1.5227970002706568,7.703700000092795,118.34880000515113,0.039449600001717045,60900,0.0,13
