split,candidate_id,family,execution_mode,n_conditions,snr_improvement_mean_db,snr_improvement_std_db,snr_improvement_min_db,snr_degradation_fraction,si_sdr_improvement_mean_db,rtf_mean,block_mean_ms,block_p95_ms,block_p99_ms,block_worst_ms,state_memory_max_bytes
final_operational,bypass,baseline,causal_blocks,72,0.0,0.0,0.0,0.0,0.0,0.0011675185182277211,0.023350370364554424,0.02832465278035871,0.04667709728197319,0.5409000004874542,57952
final_operational,subtraction_adaptive_causal,stft_subtraction,causal_blocks,72,3.7631337551172397,1.1027373606726425,0.6571731377165548,0.0,2.647568416034565,0.06838859398143354,1.367771879628671,1.9846710417109779,3.077176527757875,13.313500000549539,60900
final_operational,subtraction_calibration_causal,stft_subtraction,causal_blocks,72,0.9588052737921289,4.5735826147878305,-7.33879375890824,0.3333333333333333,-2.379751119237772,0.0272543481480667,0.545086962961334,0.8422691666263892,1.5635228055704218,10.427700000036566,60900
final_operational,subtraction_initial_legacy,stft_subtraction,offline_file,72,1.8151157595626206,4.0454744474891555,-6.2913042446716165,0.3333333333333333,-0.16492741540806902,0.002874517129641761,8.623551388925282,8.623551388925282,8.623551388925282,25.1114000002417,0
final_operational,subtraction_low_energy_offline,stft_subtraction,offline_file,72,4.847666827652461,1.3825118359301671,1.0599185623927845,0.0,3.7164015658283196,0.00270155416666495,8.104662499994852,8.104662499994852,8.104662499994852,15.422700000272016,0
final_operational,wiener_adaptive_causal,stft_wiener,causal_blocks,72,1.6760171078841646,0.4963849881253541,1.0110073551901344,0.0,1.350952042715237,0.06333164583320973,1.2666329166641945,1.8322457638791743,3.018131250006231,24.93970000068657,60900
final_operational,wiener_initial_legacy,stft_wiener,offline_file,72,1.3029335791793395,2.933720088181806,-5.190364378248587,0.2777777777777778,-0.40452593091425204,0.0015950046296506182,4.785013888951855,4.785013888951855,4.785013888951855,11.590999999498308,0
final_operational,wiener_low_energy_offline,stft_wiener,offline_file,72,2.9204405796915136,0.7051431673499768,1.8031107443303531,0.0,2.2529592151963223,0.0015260226851894374,4.578068055568313,4.578068055568313,4.578068055568313,8.091599999715982,0
validation,bypass,baseline,causal_blocks,72,0.0,0.0,0.0,0.0,0.0,0.0013177143516798053,0.026354287033596106,0.03384576386654062,0.05797411109319391,0.6521999994220096,57952
validation,subtraction_adaptive_causal,stft_subtraction,causal_blocks,72,3.740332469192764,1.427312966293993,0.04782439675188499,0.0,3.149882163866957,0.07838419537069041,1.567683907413808,2.16720076394381,3.7378022361119414,104.1187999999238,60900
validation,subtraction_calibration_causal,stft_subtraction,causal_blocks,72,0.13931016982932876,4.545688273259569,-7.301912171966043,0.5,-2.9575393869655198,0.0319411865743312,0.6388237314866241,0.9245001389514422,1.8105534583321452,61.703700000180106,60900
validation,subtraction_initial_legacy,stft_subtraction,offline_file,72,1.1761306746516127,4.800825625150536,-7.560089144382279,0.375,-0.929300496534435,0.003021899074092794,9.065697222278382,9.065697222278382,9.065697222278382,21.40899999994872,0
validation,subtraction_low_energy_offline,stft_subtraction,offline_file,72,4.754379471222834,1.7949553255662367,0.2160510721057296,0.0,3.9642272823541216,0.0031678768518464424,9.503630555539328,9.503630555539328,9.503630555539328,27.53500000017084,0
validation,wiener_adaptive_causal,stft_wiener,causal_blocks,72,1.4441338090259148,0.4860230729313756,0.3063756345877984,0.0,1.2838352416178052,0.07037021018511833,1.4074042037023664,1.962187777780854,2.8537919445029174,35.197100000004866,60900
validation,wiener_initial_legacy,stft_wiener,offline_file,72,1.0199456114210224,3.7839683452886423,-6.478885796175552,0.3888888888888889,-1.1044313270823194,0.0018187226851843529,5.456168055553058,5.456168055553058,5.456168055553058,38.990000000012515,0
validation,wiener_low_energy_offline,stft_wiener,offline_file,72,2.2343842909551372,0.7869207257209724,0.7246535285027944,0.0,1.6171406478645123,0.0015809078703636326,4.742723611090899,4.742723611090899,4.742723611090899,7.1080000006986666,0
